Group,Candidates in Ballot Order,Ordinary,Early Voting,Declared Facility,Absent,Postal,iVote,Enrolment / Provisional,Total Votes / Ballot Papers,% of Votes / Ballot Papers,Number of Quotas
A,SHOOTERS_FISHERS_AND_FARMERS,539,186,0,111,20,57,26,939,1.94 %,0.0046
B,SOCIALIST_ALLIANCE,40,14,0,9,0,4,3,70,0.14 %,0.0003
C,SUSTAINABLE_AUSTRALIA,865,332,0,113,38,76,26,1450,2.99 %,0.0072
D,THE_GREENS,4814,1747,3,625,124,365,182,7860,16.20 %,0.0388
E,ANIMAL_JUSTICE_PARTY,644,159,0,97,26,56,26,1008,2.08 %,0.005
F,ADVANCE,13,2,0,2,0,4,1,22,0.05 %,0.0001
G,GROUP_G,10,5,1,3,2,6,0,27,0.06 %,0.0001
H,GROUP_H,28.0,10.0,0.0,4.0,2.0,1.0,0.0,45.0,0.09 %,0.0002
I,FLUX,60,26,0,3,2,10,0,101,0.21 %,0.0005
J,LABOR__COUNTRY_LABOR,3951,1611,14,490,154,261,151,6632,13.67 %,0.0328
K,LIBERAL__THE_NATIONALS,13981,5807,92,1344,682,876,307,23089,47.59 %,0.1141
L,GROUP_L,46,30,0,8,4,9,2,99,0.20 %,0.0005
M,AUSTRALIAN_CONSERVATIVES_NSW,398,188,2,16,15,15,4,638,1.32 %,0.0032
N,KEEP_SYDNEY_OPEN,873,234,0,199,14,128,45,1493,3.08 %,0.0074
O,LIBERAL_DEMOCRATS,810,248,2,108,37,81,32,1318,2.72 %,0.0065
P,VOLUNTARY_EUTHANASIA_PARTY,450,186,4,52,39,37,8,776,1.60 %,0.0038
Q,CHRISTIAN_DEMOCRATIC_PARTY_FRED_NILE_GROUP,349,136,6,36,17,16,8,568,1.17 %,0.0028
R,THE_SMALL_BUSINESS_PARTY,200,60,0,27,7,22,7,323,0.67 %,0.0016
S,GROUP_S,15,2,0,2,2,5,1,27,0.06 %,0.0001
T,PAULINE_HANSONS_ONE_NATION,1100,524,10,172,99,92,20,2017,4.16 %,0.01
_TOTAL_,TOTAL_VOTES,30742.0,12073.0,136.0,3555.0,1298.0,2159.0,884.0,50847.0,nan,nan
