Group,Candidates in Ballot Order,Ordinary,Early Voting,Declared Facility,Absent,Postal,iVote,Enrolment / Provisional,Total Votes / Ballot Papers,% of Votes / Ballot Papers,Number of Quotas
A,SHOOTERS_FISHERS_AND_FARMERS,1936,719,6,293,39,84,85,3162,6.11 %,0.0156
B,SOCIALIST_ALLIANCE,71,27,1,15,2,10,1,127,0.25 %,0.0006
C,SUSTAINABLE_AUSTRALIA,779,368,5,79,30,63,22,1346,2.60 %,0.0067
D,THE_GREENS,2345,852,8,346,64,164,112,3891,7.52 %,0.0192
E,ANIMAL_JUSTICE_PARTY,467,181,4,77,25,29,29,812,1.57 %,0.004
F,ADVANCE,27,14,2,1,0,2,0,46,0.09 %,0.0002
G,GROUP_G,25,30,0,6,1,4,0,66,0.13 %,0.0003
H,GROUP_H,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.00 %,0.0
I,FLUX,73,46,0,7,0,5,3,134,0.26 %,0.0007
J,LABOR__COUNTRY_LABOR,6077,3268,79,739,275,279,167,10884,21.04 %,0.0538
K,LIBERAL__THE_NATIONALS,12568,7721,152,1217,648,581,176,23063,44.59 %,0.114
L,GROUP_L,102,31,2,10,2,11,1,159,0.31 %,0.0008
M,AUSTRALIAN_CONSERVATIVES_NSW,149,72,1,24,7,13,3,269,0.52 %,0.0013
N,KEEP_SYDNEY_OPEN,179,63,0,34,4,17,6,303,0.59 %,0.0015
O,LIBERAL_DEMOCRATS,290,167,5,39,6,36,7,550,1.06 %,0.0027
P,VOLUNTARY_EUTHANASIA_PARTY,505,387,1,52,60,44,15,1064,2.06 %,0.0053
Q,CHRISTIAN_DEMOCRATIC_PARTY_FRED_NILE_GROUP,511,244,3,63,37,16,4,878,1.70 %,0.0043
R,THE_SMALL_BUSINESS_PARTY,139,79,2,30,6,14,5,275,0.53 %,0.0014
S,GROUP_S,10,6,0,1,0,5,1,23,0.04 %,0.0001
T,PAULINE_HANSONS_ONE_NATION,2589,1318,3,366,168,147,66,4657,9.00 %,0.023
_TOTAL_,TOTAL_VOTES,30857.0,16531.0,290.0,3555.0,1398.0,1547.0,744.0,54922.0,nan,nan
