Group,Candidates in Ballot Order,Ordinary,Early Voting,Declared Facility,Absent,Postal,iVote,Enrolment / Provisional,Total Votes / Ballot Papers,% of Votes / Ballot Papers,Number of Quotas
A,SHOOTERS_FISHERS_AND_FARMERS,1962,736,6,244,55,106,98,3207,6.65 %,0.0159
B,SOCIALIST_ALLIANCE,63,22,1,10,2,8,2,108,0.22 %,0.0005
C,SUSTAINABLE_AUSTRALIA,387,147,2,43,19,37,30,665,1.38 %,0.0033
D,THE_GREENS,1352,530,3,209,39,94,100,2327,4.82 %,0.0115
E,ANIMAL_JUSTICE_PARTY,639,219,0,90,22,35,46,1051,2.18 %,0.0052
F,ADVANCE,14,10,0,4,0,6,1,35,0.07 %,0.0002
G,GROUP_G,37,19,0,1,3,1,1,62,0.13 %,0.0003
H,GROUP_H,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.01 %,0.0
I,FLUX,95,39,0,9,2,8,2,155,0.32 %,0.0008
J,LABOR__COUNTRY_LABOR,9747,5421,83,739,420,468,254,17132,35.51 %,0.0847
K,LIBERAL__THE_NATIONALS,8507,5216,110,700,643,408,201,15785,32.72 %,0.078
L,GROUP_L,57,26,0,3,2,7,0,95,0.20 %,0.0005
M,AUSTRALIAN_CONSERVATIVES_NSW,112,64,0,17,11,8,8,220,0.46 %,0.0011
N,KEEP_SYDNEY_OPEN,123,39,1,27,5,14,9,218,0.45 %,0.0011
O,LIBERAL_DEMOCRATS,419,200,5,53,21,37,18,753,1.56 %,0.0037
P,VOLUNTARY_EUTHANASIA_PARTY,314,179,1,17,30,40,8,589,1.22 %,0.0029
Q,CHRISTIAN_DEMOCRATIC_PARTY_FRED_NILE_GROUP,517,201,5,52,21,15,15,826,1.71 %,0.0041
R,THE_SMALL_BUSINESS_PARTY,194,59,1,17,10,13,7,301,0.62 %,0.0015
S,GROUP_S,7,2,0,0,2,3,0,14,0.03 %,0.0001
T,PAULINE_HANSONS_ONE_NATION,2691,1269,3,264,188,166,98,4679,9.70 %,0.0231
_TOTAL_,TOTAL_VOTES,29604.0,15191.0,240.0,2638.0,1523.0,1504.0,953.0,51653.0,nan,nan
