Group,Candidates in Ballot Order,Ordinary,Early Voting,Declared Facility,Absent,Postal,iVote,Enrolment / Provisional,Total Votes / Ballot Papers,% of Votes / Ballot Papers,Number of Quotas
A,SHOOTERS_FISHERS_AND_FARMERS,912,217,2,222,33,142,38,1566,3.48 %,0.0077
B,SOCIALIST_ALLIANCE,98,15,0,25,3,18,5,164,0.36 %,0.0008
C,SUSTAINABLE_AUSTRALIA,218,37,1,52,10,59,10,387,0.86 %,0.0019
D,THE_GREENS,1300,210,3,292,37,210,68,2120,4.71 %,0.0105
E,ANIMAL_JUSTICE_PARTY,469,85,2,119,13,90,25,803,1.78 %,0.004
F,ADVANCE,50,3,0,14,0,4,0,71,0.16 %,0.0004
G,GROUP_G,62,8,0,20,2,9,2,103,0.23 %,0.0005
H,GROUP_H,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.00 %,0.0
I,FLUX,161,40,2,38,0,12,5,258,0.57 %,0.0013
J,LABOR__COUNTRY_LABOR,11764,2955,52,2265,378,933,413,18760,41.68 %,0.0927
K,LIBERAL__THE_NATIONALS,8072,1909,40,1550,369,688,209,12837,28.52 %,0.0634
L,GROUP_L,50,7,0,9,0,8,2,76,0.17 %,0.0004
M,AUSTRALIAN_CONSERVATIVES_NSW,194,27,1,34,5,24,14,299,0.66 %,0.0015
N,KEEP_SYDNEY_OPEN,362,53,0,95,5,89,22,626,1.39 %,0.0031
O,LIBERAL_DEMOCRATS,1099,202,2,203,29,121,36,1692,3.76 %,0.0084
P,VOLUNTARY_EUTHANASIA_PARTY,140,29,1,26,9,23,3,231,0.51 %,0.0011
Q,CHRISTIAN_DEMOCRATIC_PARTY_FRED_NILE_GROUP,1048,201,1,223,57,100,37,1667,3.70 %,0.0082
R,THE_SMALL_BUSINESS_PARTY,137,31,0,45,10,53,4,280,0.62 %,0.0014
S,GROUP_S,18,1,0,4,1,18,0,42,0.09 %,0.0002
T,PAULINE_HANSONS_ONE_NATION,1880,430,4,321,147,203,37,3022,6.71 %,0.0149
_TOTAL_,TOTAL_VOTES,31431.0,7012.0,120.0,6091.0,1126.0,2867.0,1025.0,49672.0,nan,nan
