Group,Candidates in Ballot Order,Ordinary,Early Voting,Declared Facility,Absent,Postal,iVote,Enrolment / Provisional,Total Votes / Ballot Papers,% of Votes / Ballot Papers,Number of Quotas
A,SHOOTERS_FISHERS_AND_FARMERS,867,216,0,164,29,135,64,1475,2.79 %,0.0073
B,SOCIALIST_ALLIANCE,83,17,0,6,3,19,5,133,0.25 %,0.0007
C,SUSTAINABLE_AUSTRALIA,287,93,0,48,5,105,19,557,1.05 %,0.0028
D,THE_GREENS,1562,362,0,273,74,292,123,2686,5.07 %,0.0133
E,ANIMAL_JUSTICE_PARTY,519,136,0,78,39,95,41,908,1.72 %,0.0045
F,ADVANCE,20,6,0,2,1,9,1,39,0.07 %,0.0002
G,GROUP_G,19,12,0,4,1,10,0,46,0.09 %,0.0002
H,GROUP_H,1.0,0.0,0.0,0.0,0.0,3.0,0.0,4.0,0.01 %,0.0
I,FLUX,117,36,0,8,6,9,2,178,0.34 %,0.0009
J,LABOR__COUNTRY_LABOR,10756,3953,0,978,368,1004,454,17513,33.08 %,0.0866
K,LIBERAL__THE_NATIONALS,14169,4466,0,1133,739,1249,413,22169,41.87 %,0.1096
L,GROUP_L,41,11,0,3,0,9,1,65,0.12 %,0.0003
M,AUSTRALIAN_CONSERVATIVES_NSW,148,55,0,20,15,23,8,269,0.51 %,0.0013
N,KEEP_SYDNEY_OPEN,434,98,0,78,16,85,29,740,1.40 %,0.0037
O,LIBERAL_DEMOCRATS,814,189,0,118,40,191,39,1391,2.63 %,0.0069
P,VOLUNTARY_EUTHANASIA_PARTY,161,47,0,23,7,48,8,294,0.56 %,0.0015
Q,CHRISTIAN_DEMOCRATIC_PARTY_FRED_NILE_GROUP,854,320,0,110,61,104,27,1476,2.79 %,0.0073
R,THE_SMALL_BUSINESS_PARTY,165,39,0,28,12,39,9,292,0.55 %,0.0014
S,GROUP_S,18,5,0,3,0,11,0,37,0.07 %,0.0002
T,PAULINE_HANSONS_ONE_NATION,1544,477,0,208,143,224,64,2660,5.02 %,0.0131
_TOTAL_,TOTAL_VOTES,34545.0,11115.0,0.0,3472.0,1573.0,3730.0,1384.0,55819.0,nan,nan
