Group,Candidates in Ballot Order,Ordinary,Early Voting,Declared Facility,Absent,Postal,iVote,Enrolment / Provisional,Total Votes / Ballot Papers,% of Votes / Ballot Papers,Number of Quotas
A,SHOOTERS_FISHERS_AND_FARMERS,771,134,3,140,19,79,39,1185,2.56 %,0.0059
B,SOCIALIST_ALLIANCE,97,24,0,20,3,19,8,171,0.37 %,0.0008
C,SUSTAINABLE_AUSTRALIA,296,55,1,40,10,52,15,469,1.01 %,0.0023
D,THE_GREENS,2349,386,4,419,40,342,113,3653,7.90 %,0.0181
E,ANIMAL_JUSTICE_PARTY,722,107,1,90,22,97,42,1081,2.34 %,0.0053
F,ADVANCE,31,4,0,8,0,5,2,50,0.11 %,0.0002
G,GROUP_G,69,16,1,5,1,5,4,101,0.22 %,0.0005
H,GROUP_H,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.00 %,0.0
I,FLUX,169,33,0,14,3,8,8,235,0.51 %,0.0012
J,LABOR__COUNTRY_LABOR,11757,2484,46,1380,266,821,456,17210,37.23 %,0.0851
K,LIBERAL__THE_NATIONALS,10312,1663,44,1115,327,731,342,14534,31.44 %,0.0718
L,GROUP_L,48,18,1,5,1,7,4,84,0.18 %,0.0004
M,AUSTRALIAN_CONSERVATIVES_NSW,164,38,3,18,3,17,14,257,0.56 %,0.0013
N,KEEP_SYDNEY_OPEN,950,129,0,168,17,150,68,1482,3.21 %,0.0073
O,LIBERAL_DEMOCRATS,915,172,1,138,32,133,38,1429,3.09 %,0.0071
P,VOLUNTARY_EUTHANASIA_PARTY,154,40,0,31,14,33,3,275,0.59 %,0.0014
Q,CHRISTIAN_DEMOCRATIC_PARTY_FRED_NILE_GROUP,617,137,2,94,13,61,23,947,2.05 %,0.0047
R,THE_SMALL_BUSINESS_PARTY,468,50,1,46,10,44,16,635,1.37 %,0.0031
S,GROUP_S,29,6,0,3,1,3,0,42,0.09 %,0.0002
T,PAULINE_HANSONS_ONE_NATION,1520,359,4,192,111,141,41,2368,5.12 %,0.0117
_TOTAL_,TOTAL_VOTES,35010.0,6327.0,117.0,4181.0,906.0,2827.0,1362.0,50730.0,nan,nan
