Group,Candidates in Ballot Order,Ordinary,Early Voting,Declared Facility,Absent,Postal,iVote,Enrolment / Provisional,Total Votes / Ballot Papers,% of Votes / Ballot Papers,Number of Quotas
A,SHOOTERS_FISHERS_AND_FARMERS,436,98,1,57,19,58,18,687,1.45 %,0.0034
B,SOCIALIST_ALLIANCE,98,21,0,15,2,21,1,158,0.33 %,0.0008
C,SUSTAINABLE_AUSTRALIA,437,64,0,71,36,101,5,714,1.50 %,0.0035
D,THE_GREENS,3128,450,5,383,148,370,155,4639,9.76 %,0.0229
E,ANIMAL_JUSTICE_PARTY,349,56,0,47,23,61,22,558,1.17 %,0.0028
F,ADVANCE,20,6,1,3,0,6,3,39,0.08 %,0.0002
G,GROUP_G,34,12,0,5,4,14,0,69,0.15 %,0.0003
H,GROUP_H,2.0,2.0,0.0,0.0,0.0,2.0,0.0,6.0,0.01 %,0.0
I,FLUX,105,17,0,10,8,12,3,155,0.33 %,0.0008
J,LABOR__COUNTRY_LABOR,8814,1967,48,895,490,789,351,13354,28.10 %,0.066
K,LIBERAL__THE_NATIONALS,13580,2823,126,1211,931,1149,373,20193,42.49 %,0.0998
L,GROUP_L,54,10,0,8,4,8,2,86,0.18 %,0.0004
M,AUSTRALIAN_CONSERVATIVES_NSW,391,82,0,27,16,30,15,561,1.18 %,0.0028
N,KEEP_SYDNEY_OPEN,617,103,1,92,21,111,37,982,2.07 %,0.0049
O,LIBERAL_DEMOCRATS,851,167,8,112,40,126,28,1332,2.80 %,0.0066
P,VOLUNTARY_EUTHANASIA_PARTY,217,41,1,22,38,40,6,365,0.77 %,0.0018
Q,CHRISTIAN_DEMOCRATIC_PARTY_FRED_NILE_GROUP,1249,267,26,93,80,90,33,1838,3.87 %,0.0091
R,THE_SMALL_BUSINESS_PARTY,153,43,0,18,15,44,12,285,0.60 %,0.0014
S,GROUP_S,27,3,0,5,2,16,0,53,0.11 %,0.0003
T,PAULINE_HANSONS_ONE_NATION,851,241,2,94,112,102,24,1426,3.00 %,0.007
_TOTAL_,TOTAL_VOTES,33469.0,6841.0,232.0,3317.0,2027.0,3203.0,1143.0,50232.0,nan,nan
