Group,Candidates in Ballot Order,Ordinary,Early Voting,Declared Facility,Absent,Postal,iVote,Enrolment / Provisional,Total Votes / Ballot Papers,% of Votes / Ballot Papers,Number of Quotas
A,SHOOTERS_FISHERS_AND_FARMERS,789,130,0,150,42,124,42,1277,2.77 %,0.0063
B,SOCIALIST_ALLIANCE,96,19,0,19,1,15,6,156,0.34 %,0.0008
C,SUSTAINABLE_AUSTRALIA,371,67,0,51,22,74,9,594,1.29 %,0.0029
D,THE_GREENS,1945,326,3,330,88,277,109,3078,6.68 %,0.0152
E,ANIMAL_JUSTICE_PARTY,396,64,0,86,29,80,28,683,1.48 %,0.0034
F,ADVANCE,33,8,1,7,1,5,2,57,0.12 %,0.0003
G,GROUP_G,40,8,0,3,1,4,0,56,0.12 %,0.0003
H,GROUP_H,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.00 %,0.0
I,FLUX,108,10,1,11,5,11,4,150,0.33 %,0.0007
J,LABOR__COUNTRY_LABOR,10303,1696,13,1445,527,760,431,15175,32.92 %,0.075
K,LIBERAL__THE_NATIONALS,12316,2114,28,1350,1064,912,294,18078,39.22 %,0.0894
L,GROUP_L,49,5,0,7,1,5,3,70,0.15 %,0.0003
M,AUSTRALIAN_CONSERVATIVES_NSW,226,13,0,28,12,24,9,312,0.68 %,0.0015
N,KEEP_SYDNEY_OPEN,396,52,0,84,22,97,34,685,1.49 %,0.0034
O,LIBERAL_DEMOCRATS,698,110,5,136,41,83,37,1110,2.41 %,0.0055
P,VOLUNTARY_EUTHANASIA_PARTY,213,23,0,22,34,27,3,322,0.70 %,0.0016
Q,CHRISTIAN_DEMOCRATIC_PARTY_FRED_NILE_GROUP,920,140,1,126,77,67,24,1355,2.94 %,0.0067
R,THE_SMALL_BUSINESS_PARTY,166,29,0,34,13,35,5,282,0.61 %,0.0014
S,GROUP_S,20,4,0,4,0,11,3,42,0.09 %,0.0002
T,PAULINE_HANSONS_ONE_NATION,1695,274,1,223,218,143,38,2592,5.62 %,0.0128
_TOTAL_,TOTAL_VOTES,33069.0,5322.0,55.0,4407.0,2244.0,2815.0,1153.0,49065.0,nan,nan
