Group,Candidates in Ballot Order,Ordinary,Early Voting,Declared Facility,Absent,Postal,iVote,Enrolment / Provisional,Total Votes / Ballot Papers,% of Votes / Ballot Papers,Number of Quotas
A,SHOOTERS_FISHERS_AND_FARMERS,1766,1005,2,212,30,157,74,3246,6.08 %,0.016
B,SOCIALIST_ALLIANCE,83,50,0,11,0,13,3,160,0.30 %,0.0008
C,SUSTAINABLE_AUSTRALIA,516,285,0,47,25,75,18,966,1.81 %,0.0048
D,THE_GREENS,2178,1092,2,288,48,202,103,3913,7.33 %,0.0193
E,ANIMAL_JUSTICE_PARTY,647,299,0,81,20,82,43,1172,2.20 %,0.0058
F,ADVANCE,26,18,0,3,0,4,1,52,0.10 %,0.0003
G,GROUP_G,56,60,1,2,0,6,0,125,0.23 %,0.0006
H,GROUP_H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00 %,0.0
I,FLUX,112,105,0,10,4,3,2,236,0.44 %,0.0012
J,LABOR__COUNTRY_LABOR,11640,7997,46,1159,393,765,320,22320,41.82 %,0.1103
K,LIBERAL__THE_NATIONALS,6012,3896,27,582,249,426,115,11307,21.19 %,0.0559
L,GROUP_L,56,25,0,3,3,4,3,94,0.18 %,0.0005
M,AUSTRALIAN_CONSERVATIVES_NSW,130,67,1,15,7,18,3,241,0.45 %,0.0012
N,KEEP_SYDNEY_OPEN,291,112,0,54,7,45,12,521,0.98 %,0.0026
O,LIBERAL_DEMOCRATS,506,285,4,41,23,49,15,923,1.73 %,0.0046
P,VOLUNTARY_EUTHANASIA_PARTY,332,299,0,28,23,69,4,755,1.41 %,0.0037
Q,CHRISTIAN_DEMOCRATIC_PARTY_FRED_NILE_GROUP,961,510,7,93,50,53,20,1694,3.17 %,0.0084
R,THE_SMALL_BUSINESS_PARTY,193,89,0,37,11,33,5,368,0.69 %,0.0018
S,GROUP_S,10,13,0,0,1,9,1,34,0.06 %,0.0002
T,PAULINE_HANSONS_ONE_NATION,2572,1975,0,257,122,238,65,5229,9.80 %,0.0258
_TOTAL_,TOTAL_VOTES,30648.0,19864.0,94.0,3130.0,1041.0,2295.0,851.0,57923.0,nan,nan
