Group,Candidates in Ballot Order,Ordinary,Early Voting,Declared Facility,Absent,Postal,iVote,Enrolment / Provisional,Total Votes / Ballot Papers,% of Votes / Ballot Papers,Number of Quotas
A,SHOOTERS_FISHERS_AND_FARMERS,1639,866,8,227,66,143,71,3020,6.30 %,0.0149
B,SOCIALIST_ALLIANCE,58,19,0,6,0,6,6,95,0.20 %,0.0005
C,SUSTAINABLE_AUSTRALIA,288,139,1,39,18,51,20,556,1.16 %,0.0027
D,THE_GREENS,2758,1260,15,381,88,262,144,4908,10.24 %,0.0243
E,ANIMAL_JUSTICE_PARTY,445,178,0,72,23,58,38,814,1.70 %,0.004
F,ADVANCE,13,12,0,4,1,5,1,36,0.08 %,0.0002
G,GROUP_G,24,23,2,1,0,3,3,56,0.12 %,0.0003
H,GROUP_H,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.00 %,0.0
I,FLUX,81,46,1,1,2,2,2,135,0.28 %,0.0007
J,LABOR__COUNTRY_LABOR,6835,3593,109,736,347,455,208,12283,25.63 %,0.0607
K,LIBERAL__THE_NATIONALS,8975,5801,169,754,706,544,160,17109,35.71 %,0.0846
L,GROUP_L,51,21,0,6,4,6,0,88,0.18 %,0.0004
M,AUSTRALIAN_CONSERVATIVES_NSW,128,58,0,8,14,9,9,226,0.47 %,0.0011
N,KEEP_SYDNEY_OPEN,181,61,0,42,1,31,19,335,0.70 %,0.0017
O,LIBERAL_DEMOCRATS,469,220,4,61,28,55,15,852,1.78 %,0.0042
P,VOLUNTARY_EUTHANASIA_PARTY,312,141,0,32,37,30,8,560,1.17 %,0.0028
Q,CHRISTIAN_DEMOCRATIC_PARTY_FRED_NILE_GROUP,915,570,6,66,56,28,25,1666,3.48 %,0.0082
R,THE_SMALL_BUSINESS_PARTY,128,79,0,18,1,13,10,249,0.52 %,0.0012
S,GROUP_S,15,9,0,2,0,6,1,33,0.07 %,0.0002
T,PAULINE_HANSONS_ONE_NATION,2676,1434,7,280,176,227,79,4879,10.18 %,0.0241
_TOTAL_,TOTAL_VOTES,28219.0,15327.0,327.0,2899.0,1589.0,1973.0,873.0,51207.0,nan,nan
