Group,Candidates in Ballot Order,Ordinary,Early Voting,Declared Facility,Absent,Postal,iVote,Enrolment / Provisional,Total Votes / Ballot Papers,% of Votes / Ballot Papers,Number of Quotas
A,SHOOTERS_FISHERS_AND_FARMERS,458,88,0,105,5,82,28,766,1.69 %,0.0038
B,SOCIALIST_ALLIANCE,93,20,0,24,2,23,4,166,0.37 %,0.0008
C,SUSTAINABLE_AUSTRALIA,221,48,0,50,10,86,14,429,0.95 %,0.0021
D,THE_GREENS,2364,405,2,548,69,446,155,3989,8.81 %,0.0197
E,ANIMAL_JUSTICE_PARTY,437,70,2,93,12,97,20,731,1.61 %,0.0036
F,ADVANCE,21,5,0,7,0,6,2,41,0.09 %,0.0002
G,GROUP_G,44,9,0,4,0,10,1,68,0.15 %,0.0003
H,GROUP_H,2.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.01 %,0.0
I,FLUX,146,49,0,15,4,10,4,228,0.50 %,0.0011
J,LABOR__COUNTRY_LABOR,10418,2579,13,1650,430,1018,455,16563,36.57 %,0.0819
K,LIBERAL__THE_NATIONALS,10409,2318,19,1441,482,1026,341,16036,35.40 %,0.0793
L,GROUP_L,57,11,0,7,1,12,3,91,0.20 %,0.0004
M,AUSTRALIAN_CONSERVATIVES_NSW,288,38,0,44,11,43,7,431,0.95 %,0.0021
N,KEEP_SYDNEY_OPEN,639,96,1,142,24,150,35,1087,2.40 %,0.0054
O,LIBERAL_DEMOCRATS,701,161,0,166,32,159,40,1259,2.78 %,0.0062
P,VOLUNTARY_EUTHANASIA_PARTY,160,40,0,29,13,42,5,289,0.64 %,0.0014
Q,CHRISTIAN_DEMOCRATIC_PARTY_FRED_NILE_GROUP,828,196,0,149,50,94,35,1352,2.98 %,0.0067
R,THE_SMALL_BUSINESS_PARTY,175,61,0,42,8,43,8,337,0.74 %,0.0017
S,GROUP_S,28,10,0,1,0,17,1,57,0.13 %,0.0003
T,PAULINE_HANSONS_ONE_NATION,789,177,0,130,84,111,21,1312,2.90 %,0.0065
_TOTAL_,TOTAL_VOTES,30429.0,6699.0,40.0,4892.0,1254.0,3567.0,1260.0,48141.0,nan,nan
