Group,Candidates in Ballot Order,Ordinary,Early Voting,Declared Facility,Absent,Postal,iVote,Enrolment / Provisional,Total Votes / Ballot Papers,% of Votes / Ballot Papers,Number of Quotas
A,SHOOTERS_FISHERS_AND_FARMERS,398,168,0,59,10,29,23,687,1.43 %,0.0034
B,SOCIALIST_ALLIANCE,211,63,0,34,5,32,12,357,0.74 %,0.0018
C,SUSTAINABLE_AUSTRALIA,261,116,1,54,14,67,17,530,1.11 %,0.0026
D,THE_GREENS,6921,1742,7,1204,170,790,411,11245,23.45 %,0.0556
E,ANIMAL_JUSTICE_PARTY,515,172,2,81,21,78,32,901,1.88 %,0.0045
F,ADVANCE,19,10,0,1,0,4,0,34,0.07 %,0.0002
G,GROUP_G,46,19,0,3,1,6,1,76,0.16 %,0.0004
H,GROUP_H,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.00 %,0.0
I,FLUX,136,39,0,19,2,19,5,220,0.46 %,0.0011
J,LABOR__COUNTRY_LABOR,10984,4294,91,1367,361,955,440,18492,38.56 %,0.0914
K,LIBERAL__THE_NATIONALS,5596,2053,80,794,257,519,237,9536,19.89 %,0.0471
L,GROUP_L,132,22,1,12,0,9,3,179,0.37 %,0.0009
M,AUSTRALIAN_CONSERVATIVES_NSW,100,29,2,17,4,14,4,170,0.35 %,0.0008
N,KEEP_SYDNEY_OPEN,1239,285,3,221,31,237,66,2082,4.34 %,0.0103
O,LIBERAL_DEMOCRATS,535,221,5,72,17,71,25,946,1.97 %,0.0047
P,VOLUNTARY_EUTHANASIA_PARTY,220,100,2,36,18,39,5,420,0.88 %,0.0021
Q,CHRISTIAN_DEMOCRATIC_PARTY_FRED_NILE_GROUP,285,131,1,58,19,39,11,544,1.13 %,0.0027
R,THE_SMALL_BUSINESS_PARTY,152,55,0,27,5,22,5,266,0.55 %,0.0013
S,GROUP_S,44,5,0,1,2,11,2,65,0.14 %,0.0003
T,PAULINE_HANSONS_ONE_NATION,624,279,5,95,62,48,20,1133,2.36 %,0.0056
_TOTAL_,TOTAL_VOTES,30307.0,10552.0,208.0,4331.0,1017.0,3040.0,1370.0,50825.0,nan,nan
