Group,Candidates in Ballot Order,Ordinary,Early Voting,Declared Facility,Absent,Postal,iVote,Enrolment / Provisional,Total Votes / Ballot Papers,% of Votes / Ballot Papers,Number of Quotas
A,SHOOTERS_FISHERS_AND_FARMERS,1557,334,0,317,28,90,78,2404,4.98 %,0.0119
B,SOCIALIST_ALLIANCE,96,12,0,17,4,7,1,137,0.28 %,0.0007
C,SUSTAINABLE_AUSTRALIA,354,65,1,61,8,34,12,535,1.11 %,0.0026
D,THE_GREENS,1992,370,3,406,56,110,127,3064,6.35 %,0.0151
E,ANIMAL_JUSTICE_PARTY,945,196,4,155,19,64,59,1442,2.99 %,0.0071
F,ADVANCE,24,7,0,1,2,2,0,36,0.07 %,0.0002
G,GROUP_G,41,11,0,10,0,5,0,67,0.14 %,0.0003
H,GROUP_H,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.00 %,0.0
I,FLUX,124,30,1,17,2,3,2,179,0.37 %,0.0009
J,LABOR__COUNTRY_LABOR,11743,3767,34,1550,602,462,341,18499,38.33 %,0.0914
K,LIBERAL__THE_NATIONALS,8486,2839,10,1058,485,385,150,13413,27.79 %,0.0663
L,GROUP_L,57,11,0,8,2,2,0,80,0.17 %,0.0004
M,AUSTRALIAN_CONSERVATIVES_NSW,494,152,0,50,13,16,10,735,1.52 %,0.0036
N,KEEP_SYDNEY_OPEN,204,44,0,67,3,33,15,366,0.76 %,0.0018
O,LIBERAL_DEMOCRATS,519,143,0,79,31,37,14,823,1.71 %,0.0041
P,VOLUNTARY_EUTHANASIA_PARTY,447,103,0,60,31,38,8,687,1.42 %,0.0034
Q,CHRISTIAN_DEMOCRATIC_PARTY_FRED_NILE_GROUP,517,128,3,91,26,27,16,808,1.67 %,0.004
R,THE_SMALL_BUSINESS_PARTY,191,39,0,39,7,13,8,297,0.62 %,0.0015
S,GROUP_S,14,1,0,1,0,5,0,21,0.04 %,0.0001
T,PAULINE_HANSONS_ONE_NATION,2936,838,0,458,189,137,95,4653,9.64 %,0.023
_TOTAL_,TOTAL_VOTES,33318.0,9615.0,62.0,4712.0,1531.0,1500.0,1001.0,51739.0,nan,nan
