Group,Candidates in Ballot Order,Ordinary,Early Voting,Declared Facility,Absent,Postal,iVote,Enrolment / Provisional,Total Votes / Ballot Papers,% of Votes / Ballot Papers,Number of Quotas
A,SHOOTERS_FISHERS_AND_FARMERS,185,29,1,43,7,47,11,323,0.75 %,0.0016
B,SOCIALIST_ALLIANCE,91,29,0,23,1,30,5,179,0.41 %,0.0009
C,SUSTAINABLE_AUSTRALIA,417,80,1,81,16,117,17,729,1.69 %,0.0036
D,THE_GREENS,4796,832,12,960,167,988,286,8041,18.64 %,0.0397
E,ANIMAL_JUSTICE_PARTY,446,106,1,90,19,92,25,779,1.81 %,0.0039
F,ADVANCE,14,3,0,3,0,4,1,25,0.06 %,0.0001
G,GROUP_G,13,7,0,2,0,13,2,37,0.09 %,0.0002
H,GROUP_H,3.0,0.0,0.0,1.0,0.0,1.0,0.0,5.0,0.01 %,0.0
I,FLUX,98,17,1,16,2,27,3,164,0.38 %,0.0008
J,LABOR__COUNTRY_LABOR,5589,1383,40,1076,277,1017,268,9650,22.37 %,0.0477
K,LIBERAL__THE_NATIONALS,8570,1831,54,1650,478,1608,313,14504,33.62 %,0.0717
L,GROUP_L,60,18,0,15,1,13,0,107,0.25 %,0.0005
M,AUSTRALIAN_CONSERVATIVES_NSW,88,30,1,14,6,22,0,161,0.37 %,0.0008
N,KEEP_SYDNEY_OPEN,2762,432,2,408,79,673,155,4511,10.46 %,0.0223
O,LIBERAL_DEMOCRATS,621,152,4,158,12,210,31,1188,2.75 %,0.0059
P,VOLUNTARY_EUTHANASIA_PARTY,446,108,1,48,38,90,6,737,1.71 %,0.0036
Q,CHRISTIAN_DEMOCRATIC_PARTY_FRED_NILE_GROUP,108,46,1,25,7,15,7,209,0.48 %,0.001
R,THE_SMALL_BUSINESS_PARTY,392,168,1,44,13,84,16,718,1.66 %,0.0035
S,GROUP_S,28,9,1,7,1,14,0,60,0.14 %,0.0003
T,PAULINE_HANSONS_ONE_NATION,512,167,7,119,43,98,17,963,2.23 %,0.0048
_TOTAL_,TOTAL_VOTES,26343.0,5637.0,135.0,4947.0,1179.0,5246.0,1214.0,44701.0,nan,nan
