Group,Candidates in Ballot Order,Ordinary,Early Voting,Declared Facility,Absent,Postal,iVote,Enrolment / Provisional,Total Votes / Ballot Papers,% of Votes / Ballot Papers,Number of Quotas
A,SHOOTERS_FISHERS_AND_FARMERS,4656,2733,17,371,116,164,196,8253,16.73 %,0.0408
B,SOCIALIST_ALLIANCE,71,38,1,5,1,5,2,123,0.25 %,0.0006
C,SUSTAINABLE_AUSTRALIA,320,182,2,33,15,31,14,597,1.21 %,0.003
D,THE_GREENS,1172,563,5,162,24,74,54,2054,4.16 %,0.0102
E,ANIMAL_JUSTICE_PARTY,486,238,3,46,15,25,20,833,1.69 %,0.0041
F,ADVANCE,30,19,1,4,0,2,0,56,0.11 %,0.0003
G,GROUP_G,42,20,1,2,1,0,2,68,0.14 %,0.0003
H,GROUP_H,3.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.01 %,0.0
I,FLUX,49,33,0,7,1,1,3,94,0.19 %,0.0005
J,LABOR__COUNTRY_LABOR,4348,2434,49,456,152,153,163,7755,15.72 %,0.0383
K,LIBERAL__THE_NATIONALS,10547,7649,159,735,605,493,179,20367,41.30 %,0.1007
L,GROUP_L,272,122,0,7,8,11,2,422,0.86 %,0.0021
M,AUSTRALIAN_CONSERVATIVES_NSW,135,75,2,17,10,4,3,246,0.50 %,0.0012
N,KEEP_SYDNEY_OPEN,96,43,0,19,1,14,7,180,0.36 %,0.0009
O,LIBERAL_DEMOCRATS,284,174,0,15,14,11,11,509,1.03 %,0.0025
P,VOLUNTARY_EUTHANASIA_PARTY,241,178,2,30,25,29,13,518,1.05 %,0.0026
Q,CHRISTIAN_DEMOCRATIC_PARTY_FRED_NILE_GROUP,729,373,8,46,51,29,10,1246,2.53 %,0.0062
R,THE_SMALL_BUSINESS_PARTY,177,93,0,17,9,9,7,312,0.63 %,0.0015
S,GROUP_S,9,7,0,3,0,3,1,23,0.05 %,0.0001
T,PAULINE_HANSONS_ONE_NATION,3123,1933,11,253,144,114,61,5639,11.43 %,0.0279
_TOTAL_,TOTAL_VOTES,28452.0,17679.0,269.0,2346.0,1206.0,1183.0,783.0,51918.0,nan,nan
