Group,Candidates in Ballot Order,Ordinary,Early Voting,Declared Facility,Absent,Postal,iVote,Enrolment / Provisional,Total Votes / Ballot Papers,% of Votes / Ballot Papers,Number of Quotas
A,SHOOTERS_FISHERS_AND_FARMERS,731,282,2,132,36,58,24,1265,2.56 %,0.0063
B,SOCIALIST_ALLIANCE,52,12,0,8,2,7,5,86,0.17 %,0.0004
C,SUSTAINABLE_AUSTRALIA,542,135,4,76,34,45,18,854,1.73 %,0.0042
D,THE_GREENS,3306,890,2,464,69,281,135,5147,10.41 %,0.0254
E,ANIMAL_JUSTICE_PARTY,714,253,1,115,28,53,28,1192,2.41 %,0.0059
F,ADVANCE,16,6,0,4,0,4,0,30,0.06 %,0.0001
G,GROUP_G,35,6,0,4,5,0,1,51,0.10 %,0.0003
H,GROUP_H,3.0,0.0,0.0,0.0,0.0,2.0,0.0,5.0,0.01 %,0.0
I,FLUX,78,29,0,5,4,2,5,123,0.25 %,0.0006
J,LABOR__COUNTRY_LABOR,7383,2881,25,868,339,483,236,12215,24.70 %,0.0604
K,LIBERAL__THE_NATIONALS,12925,5325,32,1108,947,699,210,21246,42.96 %,0.105
L,GROUP_L,52,15,0,4,3,2,2,78,0.16 %,0.0004
M,AUSTRALIAN_CONSERVATIVES_NSW,260,72,1,29,26,27,13,428,0.87 %,0.0021
N,KEEP_SYDNEY_OPEN,485,122,0,99,10,65,28,809,1.64 %,0.004
O,LIBERAL_DEMOCRATS,718,241,1,104,37,74,16,1191,2.41 %,0.0059
P,VOLUNTARY_EUTHANASIA_PARTY,335,134,0,39,40,44,5,597,1.21 %,0.003
Q,CHRISTIAN_DEMOCRATIC_PARTY_FRED_NILE_GROUP,595,207,2,54,34,21,9,922,1.86 %,0.0046
R,THE_SMALL_BUSINESS_PARTY,169,49,0,36,9,23,2,288,0.58 %,0.0014
S,GROUP_S,15,2,0,2,1,6,0,26,0.05 %,0.0001
T,PAULINE_HANSONS_ONE_NATION,1589,777,1,215,146,124,38,2890,5.84 %,0.0143
_TOTAL_,TOTAL_VOTES,31998.0,11965.0,74.0,3556.0,1798.0,2061.0,808.0,52260.0,nan,nan
