Group,Candidates in Ballot Order,Ordinary,Early Voting,Declared Facility,Absent,Postal,iVote,Enrolment / Provisional,Total Votes / Ballot Papers,% of Votes / Ballot Papers,Number of Quotas
A,SHOOTERS_FISHERS_AND_FARMERS,1108,327,0,228,34,103,63,1863,3.95 %,0.0092
B,SOCIALIST_ALLIANCE,64,14,0,8,1,5,3,95,0.20 %,0.0005
C,SUSTAINABLE_AUSTRALIA,444,121,3,77,21,65,12,743,1.57 %,0.0037
D,THE_GREENS,2384,560,2,420,67,194,115,3742,7.93 %,0.0185
E,ANIMAL_JUSTICE_PARTY,918,228,0,164,37,54,37,1438,3.05 %,0.0071
F,ADVANCE,23,5,0,4,2,0,2,36,0.08 %,0.0002
G,GROUP_G,34,11,0,5,0,4,2,56,0.12 %,0.0003
H,GROUP_H,2.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.01 %,0.0
I,FLUX,95,28,0,13,2,4,5,147,0.31 %,0.0007
J,LABOR__COUNTRY_LABOR,9909,3773,51,1131,439,454,310,16067,34.04 %,0.0794
K,LIBERAL__THE_NATIONALS,9152,3664,65,1067,703,418,169,15238,32.29 %,0.0753
L,GROUP_L,51,8,0,6,1,6,1,73,0.15 %,0.0004
M,AUSTRALIAN_CONSERVATIVES_NSW,215,60,0,29,9,12,5,330,0.70 %,0.0016
N,KEEP_SYDNEY_OPEN,439,83,1,97,11,55,23,709,1.50 %,0.0035
O,LIBERAL_DEMOCRATS,580,175,2,107,35,69,25,993,2.10 %,0.0049
P,VOLUNTARY_EUTHANASIA_PARTY,317,107,0,45,47,48,8,572,1.21 %,0.0028
Q,CHRISTIAN_DEMOCRATIC_PARTY_FRED_NILE_GROUP,612,129,1,92,45,21,18,918,1.95 %,0.0045
R,THE_SMALL_BUSINESS_PARTY,188,49,0,43,11,27,8,326,0.69 %,0.0016
S,GROUP_S,40,9,0,1,0,5,2,57,0.12 %,0.0003
T,PAULINE_HANSONS_ONE_NATION,2255,855,1,313,147,153,53,3777,8.00 %,0.0187
_TOTAL_,TOTAL_VOTES,31271.0,10937.0,130.0,4082.0,1644.0,1720.0,923.0,50707.0,nan,nan
