Group,Candidates in Ballot Order,Ordinary,Early Voting,Declared Facility,Absent,Postal,iVote,Enrolment / Provisional,Total Votes / Ballot Papers,% of Votes / Ballot Papers,Number of Quotas
A,SHOOTERS_FISHERS_AND_FARMERS,768,305,10,80,19,81,36,1299,2.83 %,0.0064
B,SOCIALIST_ALLIANCE,44,24,0,3,3,10,5,89,0.19 %,0.0004
C,SUSTAINABLE_AUSTRALIA,531,241,6,36,19,80,12,925,2.02 %,0.0046
D,THE_GREENS,3782,1438,11,292,110,304,163,6100,13.31 %,0.0301
E,ANIMAL_JUSTICE_PARTY,729,308,9,41,33,59,31,1210,2.64 %,0.006
F,ADVANCE,24,11,0,1,0,2,0,38,0.08 %,0.0002
G,GROUP_G,15,3,1,0,0,4,0,23,0.05 %,0.0001
H,GROUP_H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00 %,0.0
I,FLUX,55,71,2,2,7,5,3,145,0.32 %,0.0007
J,LABOR__COUNTRY_LABOR,6575,4589,97,364,302,469,215,12611,27.51 %,0.0623
K,LIBERAL__THE_NATIONALS,8815,6714,167,445,679,681,197,17698,38.61 %,0.0875
L,GROUP_L,55,20,1,6,0,1,0,83,0.18 %,0.0004
M,AUSTRALIAN_CONSERVATIVES_NSW,96,65,2,3,10,12,1,189,0.41 %,0.0009
N,KEEP_SYDNEY_OPEN,91,20,0,17,0,22,8,158,0.34 %,0.0008
O,LIBERAL_DEMOCRATS,287,137,2,8,13,28,11,486,1.06 %,0.0024
P,VOLUNTARY_EUTHANASIA_PARTY,272,143,1,18,32,42,2,510,1.11 %,0.0025
Q,CHRISTIAN_DEMOCRATIC_PARTY_FRED_NILE_GROUP,270,145,0,20,22,20,7,484,1.06 %,0.0024
R,THE_SMALL_BUSINESS_PARTY,155,52,2,13,4,22,5,253,0.55 %,0.0013
S,GROUP_S,7,3,0,0,1,0,0,11,0.02 %,0.0001
T,PAULINE_HANSONS_ONE_NATION,1875,1133,6,130,168,157,41,3510,7.66 %,0.0173
_TOTAL_,TOTAL_VOTES,26399.0,16339.0,341.0,1548.0,1445.0,2037.0,770.0,48879.0,nan,nan
