Group,Candidates in Ballot Order,Ordinary,Early Voting,Declared Facility,Absent,Postal,iVote,Enrolment / Provisional,Total Votes / Ballot Papers,% of Votes / Ballot Papers,Number of Quotas
A,SHOOTERS_FISHERS_AND_FARMERS,4063,3151,7,610,163,275,193,8462,17.68 %,0.0418
B,SOCIALIST_ALLIANCE,37,17,2,5,3,6,1,71,0.15 %,0.0004
C,SUSTAINABLE_AUSTRALIA,279,162,1,63,20,39,20,584,1.22 %,0.0029
D,THE_GREENS,1071,611,1,276,44,126,61,2190,4.58 %,0.0108
E,ANIMAL_JUSTICE_PARTY,449,235,0,96,17,33,25,855,1.79 %,0.0042
F,ADVANCE,18,12,0,4,0,8,1,43,0.09 %,0.0002
G,GROUP_G,24,17,0,3,1,4,1,50,0.10 %,0.0002
H,GROUP_H,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.00 %,0.0
I,FLUX,61,43,2,11,1,6,2,126,0.26 %,0.0006
J,LABOR__COUNTRY_LABOR,5780,4707,45,893,309,318,238,12290,25.68 %,0.0607
K,LIBERAL__THE_NATIONALS,7314,5208,83,928,610,493,163,14799,30.92 %,0.0731
L,GROUP_L,121,48,0,13,10,13,2,207,0.43 %,0.001
M,AUSTRALIAN_CONSERVATIVES_NSW,81,68,2,14,6,14,7,192,0.40 %,0.0009
N,KEEP_SYDNEY_OPEN,77,42,0,26,4,21,4,174,0.36 %,0.0009
O,LIBERAL_DEMOCRATS,392,241,5,68,17,41,15,779,1.63 %,0.0039
P,VOLUNTARY_EUTHANASIA_PARTY,235,126,0,30,16,26,13,446,0.93 %,0.0022
Q,CHRISTIAN_DEMOCRATIC_PARTY_FRED_NILE_GROUP,377,280,2,62,27,28,11,787,1.64 %,0.0039
R,THE_SMALL_BUSINESS_PARTY,129,64,0,18,11,17,15,254,0.53 %,0.0013
S,GROUP_S,8,6,1,0,2,3,1,21,0.04 %,0.0001
T,PAULINE_HANSONS_ONE_NATION,2693,1892,6,427,157,187,110,5472,11.43 %,0.027
_TOTAL_,TOTAL_VOTES,24837.0,17844.0,173.0,3702.0,1445.0,1684.0,935.0,50620.0,nan,nan
