Group,Candidates in Ballot Order,Ordinary,Early Voting,Declared Facility,Absent,Postal,iVote,Enrolment / Provisional,Total Votes / Ballot Papers,% of Votes / Ballot Papers,Number of Quotas
A,SHOOTERS_FISHERS_AND_FARMERS,150,67,0,40,10,25,6,298,0.66 %,0.0015
B,SOCIALIST_ALLIANCE,54,14,0,4,2,17,2,93,0.21 %,0.0005
C,SUSTAINABLE_AUSTRALIA,350,95,2,52,24,88,17,628,1.38 %,0.0031
D,THE_GREENS,4382,916,5,638,168,493,165,6767,14.92 %,0.0334
E,ANIMAL_JUSTICE_PARTY,374,110,4,58,28,54,7,635,1.40 %,0.0031
F,ADVANCE,11,4,0,3,1,4,2,25,0.06 %,0.0001
G,GROUP_G,19,5,0,2,1,1,0,28,0.06 %,0.0001
H,GROUP_H,2.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.01 %,0.0
I,FLUX,104,18,0,6,2,11,0,141,0.31 %,0.0007
J,LABOR__COUNTRY_LABOR,3656,1241,14,584,225,441,111,6272,13.83 %,0.031
K,LIBERAL__THE_NATIONALS,13513,5277,147,1301,1367,1442,265,23312,51.40 %,0.1152
L,GROUP_L,32,14,0,5,1,8,1,61,0.13 %,0.0003
M,AUSTRALIAN_CONSERVATIVES_NSW,67,17,0,13,9,7,0,113,0.25 %,0.0006
N,KEEP_SYDNEY_OPEN,2111,291,0,313,43,349,86,3193,7.04 %,0.0158
O,LIBERAL_DEMOCRATS,753,267,7,131,73,162,32,1425,3.14 %,0.007
P,VOLUNTARY_EUTHANASIA_PARTY,556,165,1,27,39,52,4,844,1.86 %,0.0042
Q,CHRISTIAN_DEMOCRATIC_PARTY_FRED_NILE_GROUP,100,32,1,14,17,14,3,181,0.40 %,0.0009
R,THE_SMALL_BUSINESS_PARTY,174,62,0,33,19,23,3,314,0.69 %,0.0016
S,GROUP_S,10,1,0,2,2,4,0,19,0.04 %,0.0001
T,PAULINE_HANSONS_ONE_NATION,522,273,2,62,66,50,9,984,2.17 %,0.0049
_TOTAL_,TOTAL_VOTES,28156.0,9270.0,185.0,3394.0,2130.0,3298.0,747.0,47180.0,nan,nan
