Group,Candidates in Ballot Order,Ordinary,Early Voting,Declared Facility,Absent,Postal,iVote,Enrolment / Provisional,Total Votes / Ballot Papers,% of Votes / Ballot Papers,Number of Quotas
A,SHOOTERS_FISHERS_AND_FARMERS,3468,1490,14,240,107,211,114,5644,12.05 %,0.0279
B,SOCIALIST_ALLIANCE,77,29,0,6,1,5,1,119,0.25 %,0.0006
C,SUSTAINABLE_AUSTRALIA,400,161,3,32,13,53,20,682,1.46 %,0.0034
D,THE_GREENS,1533,529,5,137,56,167,73,2500,5.34 %,0.0124
E,ANIMAL_JUSTICE_PARTY,525,213,2,37,28,39,18,862,1.84 %,0.0043
F,ADVANCE,27,15,0,2,2,6,1,53,0.11 %,0.0003
G,GROUP_G,53,26,1,4,3,6,2,95,0.20 %,0.0005
H,GROUP_H,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.00 %,0.0
I,FLUX,61,29,1,3,3,5,1,103,0.22 %,0.0005
J,LABOR__COUNTRY_LABOR,6244,3144,94,359,256,438,135,10670,22.77 %,0.0527
K,LIBERAL__THE_NATIONALS,9638,5689,150,457,564,627,142,17267,36.86 %,0.0853
L,GROUP_L,69,28,1,3,3,6,0,110,0.23 %,0.0005
M,AUSTRALIAN_CONSERVATIVES_NSW,318,128,1,20,11,16,11,505,1.08 %,0.0025
N,KEEP_SYDNEY_OPEN,189,61,0,21,4,36,6,317,0.68 %,0.0016
O,LIBERAL_DEMOCRATS,453,242,5,24,18,34,8,784,1.67 %,0.0039
P,VOLUNTARY_EUTHANASIA_PARTY,411,213,2,21,37,48,11,743,1.59 %,0.0037
Q,CHRISTIAN_DEMOCRATIC_PARTY_FRED_NILE_GROUP,731,323,5,44,64,37,13,1217,2.60 %,0.006
R,THE_SMALL_BUSINESS_PARTY,317,137,0,20,10,28,11,523,1.12 %,0.0026
S,GROUP_S,21,5,0,1,0,5,2,34,0.07 %,0.0002
T,PAULINE_HANSONS_ONE_NATION,2724,1380,9,125,133,176,44,4591,9.80 %,0.0227
_TOTAL_,TOTAL_VOTES,29786.0,14711.0,312.0,1611.0,1337.0,1988.0,646.0,50391.0,nan,nan
