Group,Candidates in Ballot Order,Ordinary,Early Voting,Declared Facility,Absent,Postal,iVote,Enrolment / Provisional,Total Votes / Ballot Papers,% of Votes / Ballot Papers,Number of Quotas
A,SHOOTERS_FISHERS_AND_FARMERS,709,121,1,124,17,77,33,1082,2.26 %,0.0053
B,SOCIALIST_ALLIANCE,86,10,1,14,3,12,3,129,0.27 %,0.0006
C,SUSTAINABLE_AUSTRALIA,779,107,1,133,41,89,27,1177,2.46 %,0.0058
D,THE_GREENS,3781,477,11,722,111,343,175,5620,11.75 %,0.0278
E,ANIMAL_JUSTICE_PARTY,934,111,5,138,33,59,30,1310,2.74 %,0.0065
F,ADVANCE,18,3,0,4,1,5,1,32,0.07 %,0.0002
G,GROUP_G,40,8,0,5,0,7,2,62,0.13 %,0.0003
H,GROUP_H,10.0,1.0,0.0,0.0,0.0,1.0,0.0,12.0,0.03 %,0.0001
I,FLUX,104,12,0,12,5,11,1,145,0.30 %,0.0007
J,LABOR__COUNTRY_LABOR,5878,812,31,803,285,383,200,8392,17.55 %,0.0415
K,LIBERAL__THE_NATIONALS,15901,2278,122,1781,952,995,267,22296,46.62 %,0.1102
L,GROUP_L,47,13,1,3,1,12,2,79,0.17 %,0.0004
M,AUSTRALIAN_CONSERVATIVES_NSW,129,28,0,26,9,14,3,209,0.44 %,0.001
N,KEEP_SYDNEY_OPEN,1165,107,2,193,27,147,76,1717,3.59 %,0.0085
O,LIBERAL_DEMOCRATS,971,146,3,156,54,109,37,1476,3.09 %,0.0073
P,VOLUNTARY_EUTHANASIA_PARTY,400,63,3,58,34,61,3,622,1.30 %,0.0031
Q,CHRISTIAN_DEMOCRATIC_PARTY_FRED_NILE_GROUP,556,87,3,77,44,29,13,809,1.69 %,0.004
R,THE_SMALL_BUSINESS_PARTY,246,39,0,57,17,33,11,403,0.84 %,0.002
S,GROUP_S,21,3,0,1,0,3,3,31,0.06 %,0.0002
T,PAULINE_HANSONS_ONE_NATION,1416,269,8,231,128,128,24,2204,4.61 %,0.0109
_TOTAL_,TOTAL_VOTES,35495.0,4884.0,197.0,4750.0,1786.0,2570.0,957.0,50639.0,nan,nan
