Group,Candidates in Ballot Order,Ordinary,Early Voting,Declared Facility,Absent,Postal,iVote,Enrolment / Provisional,Total Votes / Ballot Papers,% of Votes / Ballot Papers,Number of Quotas
A,SHOOTERS_FISHERS_AND_FARMERS,1590,389,10,275,34,106,68,2472,4.91 %,0.0122
B,SOCIALIST_ALLIANCE,136,33,1,24,4,13,6,217,0.43 %,0.0011
C,SUSTAINABLE_AUSTRALIA,486,82,2,62,21,52,18,723,1.44 %,0.0036
D,THE_GREENS,3237,620,14,553,69,222,208,4923,9.79 %,0.0243
E,ANIMAL_JUSTICE_PARTY,998,204,3,178,39,56,50,1528,3.04 %,0.0076
F,ADVANCE,22,4,1,1,0,2,1,31,0.06 %,0.0002
G,GROUP_G,43,4,1,4,2,5,1,60,0.12 %,0.0003
H,GROUP_H,1.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,0.01 %,0.0
I,FLUX,137,29,1,16,4,7,3,197,0.39 %,0.001
J,LABOR__COUNTRY_LABOR,13970,4021,95,1697,857,637,437,21714,43.16 %,0.1073
K,LIBERAL__THE_NATIONALS,6485,1735,57,827,456,334,156,10050,19.98 %,0.0497
L,GROUP_L,67,8,0,8,2,3,3,91,0.18 %,0.0004
M,AUSTRALIAN_CONSERVATIVES_NSW,512,111,3,45,18,21,16,726,1.44 %,0.0036
N,KEEP_SYDNEY_OPEN,255,58,2,66,5,47,24,457,0.91 %,0.0023
O,LIBERAL_DEMOCRATS,627,138,2,64,25,42,12,910,1.81 %,0.0045
P,VOLUNTARY_EUTHANASIA_PARTY,447,118,2,58,24,30,13,692,1.38 %,0.0034
Q,CHRISTIAN_DEMOCRATIC_PARTY_FRED_NILE_GROUP,712,185,6,84,48,21,23,1079,2.14 %,0.0053
R,THE_SMALL_BUSINESS_PARTY,266,50,0,56,9,25,14,420,0.83 %,0.0021
S,GROUP_S,24,3,0,2,1,4,0,34,0.07 %,0.0002
T,PAULINE_HANSONS_ONE_NATION,2564,668,7,319,158,143,89,3948,7.85 %,0.0195
_TOTAL_,TOTAL_VOTES,35161.0,8985.0,216.0,4603.0,1813.0,1804.0,1209.0,53791.0,nan,nan
