Group,Candidates in Ballot Order,Ordinary,Early Voting,Declared Facility,Absent,Postal,iVote,Enrolment / Provisional,Total Votes / Ballot Papers,% of Votes / Ballot Papers,Number of Quotas
A,SHOOTERS_FISHERS_AND_FARMERS,267,47,1,52,10,39,16,432,0.92 %,0.0021
B,SOCIALIST_ALLIANCE,93,9,0,15,5,16,3,141,0.30 %,0.0007
C,SUSTAINABLE_AUSTRALIA,570,84,4,92,46,114,30,940,1.99 %,0.0046
D,THE_GREENS,4871,581,16,681,199,523,224,7095,15.04 %,0.0351
E,ANIMAL_JUSTICE_PARTY,531,75,0,84,25,72,27,814,1.73 %,0.004
F,ADVANCE,17,1,0,2,2,4,0,26,0.06 %,0.0001
G,GROUP_G,36,5,2,5,1,6,0,55,0.12 %,0.0003
H,GROUP_H,4.0,0.0,0.0,1.0,0.0,1.0,0.0,6.0,0.01 %,0.0
I,FLUX,140,19,1,12,12,27,4,215,0.46 %,0.0011
J,LABOR__COUNTRY_LABOR,5071,972,58,748,345,616,214,8024,17.01 %,0.0397
K,LIBERAL__THE_NATIONALS,15523,2664,192,1868,1262,1481,423,23413,49.62 %,0.1157
L,GROUP_L,76,11,0,15,4,11,1,118,0.25 %,0.0006
M,AUSTRALIAN_CONSERVATIVES_NSW,135,22,0,24,15,16,7,219,0.46 %,0.0011
N,KEEP_SYDNEY_OPEN,919,85,1,202,39,221,45,1512,3.20 %,0.0075
O,LIBERAL_DEMOCRATS,780,132,3,151,55,184,41,1346,2.85 %,0.0067
P,VOLUNTARY_EUTHANASIA_PARTY,493,55,4,64,58,59,13,746,1.58 %,0.0037
Q,CHRISTIAN_DEMOCRATIC_PARTY_FRED_NILE_GROUP,422,99,3,49,45,41,10,669,1.42 %,0.0033
R,THE_SMALL_BUSINESS_PARTY,190,39,0,36,25,48,6,344,0.73 %,0.0017
S,GROUP_S,17,6,1,2,0,7,0,33,0.07 %,0.0002
T,PAULINE_HANSONS_ONE_NATION,603,124,6,97,94,61,16,1001,2.12 %,0.0049
_TOTAL_,TOTAL_VOTES,32252.0,5240.0,296.0,4323.0,2269.0,3616.0,1134.0,49130.0,nan,nan
