Group,Candidates in Ballot Order,Ordinary,Early Voting,Declared Facility,Absent,Postal,iVote,Enrolment / Provisional,Total Votes / Ballot Papers,% of Votes / Ballot Papers,Number of Quotas
A,SHOOTERS_FISHERS_AND_FARMERS,2080,782,6,275,83,155,109,3490,6.99 %,0.0172
B,SOCIALIST_ALLIANCE,61,19,1,8,1,10,6,106,0.21 %,0.0005
C,SUSTAINABLE_AUSTRALIA,511,130,1,67,26,42,19,796,1.60 %,0.0039
D,THE_GREENS,1975,644,6,288,72,175,115,3275,6.56 %,0.0162
E,ANIMAL_JUSTICE_PARTY,743,254,6,80,32,57,40,1212,2.43 %,0.006
F,ADVANCE,18,8,0,1,1,3,1,32,0.06 %,0.0002
G,GROUP_G,37,3,1,0,2,5,0,48,0.10 %,0.0002
H,GROUP_H,0.0,0.0,0.0,0.0,2.0,1.0,0.0,3.0,0.01 %,0.0
I,FLUX,70,30,0,13,1,4,1,119,0.24 %,0.0006
J,LABOR__COUNTRY_LABOR,5848,2320,45,698,310,383,245,9849,19.74 %,0.0487
K,LIBERAL__THE_NATIONALS,11584,4580,105,1040,738,584,277,18908,37.89 %,0.0935
L,GROUP_L,54,27,0,4,2,2,2,91,0.18 %,0.0004
M,AUSTRALIAN_CONSERVATIVES_NSW,126,44,0,10,9,9,2,200,0.40 %,0.001
N,KEEP_SYDNEY_OPEN,359,101,1,87,7,65,23,643,1.29 %,0.0032
O,LIBERAL_DEMOCRATS,669,230,5,85,25,63,35,1112,2.23 %,0.0055
P,VOLUNTARY_EUTHANASIA_PARTY,509,239,5,29,53,52,6,893,1.79 %,0.0044
Q,CHRISTIAN_DEMOCRATIC_PARTY_FRED_NILE_GROUP,662,258,5,59,38,25,20,1067,2.14 %,0.0053
R,THE_SMALL_BUSINESS_PARTY,226,86,0,38,17,38,10,415,0.83 %,0.0021
S,GROUP_S,21,3,0,6,1,6,0,37,0.07 %,0.0002
T,PAULINE_HANSONS_ONE_NATION,4563,1843,10,437,302,281,137,7573,15.18 %,0.0374
_TOTAL_,TOTAL_VOTES,32543.0,12236.0,203.0,3406.0,1758.0,2000.0,1120.0,53266.0,nan,nan
