Group,Candidates in Ballot Order,Ordinary,Early Voting,Declared Facility,Absent,Postal,iVote,Enrolment / Provisional,Total Votes / Ballot Papers,% of Votes / Ballot Papers,Number of Quotas
A,SHOOTERS_FISHERS_AND_FARMERS,1487,443,0,187,34,138,56,2345,4.70 %,0.0116
B,SOCIALIST_ALLIANCE,154,68,0,18,6,18,10,274,0.55 %,0.0014
C,SUSTAINABLE_AUSTRALIA,564,130,0,61,24,89,27,895,1.80 %,0.0044
D,THE_GREENS,4139,1015,5,627,85,321,217,6409,12.85 %,0.0317
E,ANIMAL_JUSTICE_PARTY,763,191,1,92,28,84,48,1207,2.42 %,0.006
F,ADVANCE,43,4,0,1,0,8,2,58,0.12 %,0.0003
G,GROUP_G,74,22,0,4,2,5,1,108,0.22 %,0.0005
H,GROUP_H,0.0,1.0,0.0,0.0,0.0,2.0,0.0,3.0,0.01 %,0.0
I,FLUX,163,44,0,10,0,7,5,229,0.46 %,0.0011
J,LABOR__COUNTRY_LABOR,13500,4285,15,1286,538,783,354,20761,41.64 %,0.1026
K,LIBERAL__THE_NATIONALS,5759,2272,1,638,341,461,152,9624,19.30 %,0.0476
L,GROUP_L,80,18,0,9,3,11,3,124,0.25 %,0.0006
M,AUSTRALIAN_CONSERVATIVES_NSW,184,56,2,11,7,12,7,279,0.56 %,0.0014
N,KEEP_SYDNEY_OPEN,455,108,0,101,10,91,23,788,1.58 %,0.0039
O,LIBERAL_DEMOCRATS,708,212,0,72,20,67,14,1093,2.19 %,0.0054
P,VOLUNTARY_EUTHANASIA_PARTY,357,144,1,34,31,38,7,612,1.23 %,0.003
Q,CHRISTIAN_DEMOCRATIC_PARTY_FRED_NILE_GROUP,824,295,1,70,38,45,25,1298,2.60 %,0.0064
R,THE_SMALL_BUSINESS_PARTY,241,58,0,31,6,38,4,378,0.76 %,0.0019
S,GROUP_S,27,7,0,2,2,7,0,45,0.09 %,0.0002
T,PAULINE_HANSONS_ONE_NATION,1976,787,2,233,107,160,47,3312,6.64 %,0.0164
_TOTAL_,TOTAL_VOTES,34921.0,10849.0,29.0,3674.0,1309.0,2420.0,1076.0,54278.0,nan,nan
