Group,Candidates in Ballot Order,Ordinary,Early Voting,Declared Facility,Absent,Postal,iVote,Enrolment / Provisional,Total Votes / Ballot Papers,% of Votes / Ballot Papers,Number of Quotas
A,SHOOTERS_FISHERS_AND_FARMERS,1559,405,1,269,17,102,70,2423,5.15 %,0.012
B,SOCIALIST_ALLIANCE,79,18,1,14,0,10,3,125,0.27 %,0.0006
C,SUSTAINABLE_AUSTRALIA,322,95,2,57,11,40,13,540,1.15 %,0.0027
D,THE_GREENS,1922,448,6,332,42,127,116,2993,6.36 %,0.0148
E,ANIMAL_JUSTICE_PARTY,720,199,1,123,32,74,53,1202,2.56 %,0.0059
F,ADVANCE,26,5,3,7,0,3,2,46,0.10 %,0.0002
G,GROUP_G,41,14,0,4,4,6,2,71,0.15 %,0.0004
H,GROUP_H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00 %,0.0
I,FLUX,106,47,0,12,1,7,7,180,0.38 %,0.0009
J,LABOR__COUNTRY_LABOR,11320,4315,101,1144,337,479,331,18027,38.33 %,0.0891
K,LIBERAL__THE_NATIONALS,7502,3119,84,817,321,369,157,12369,26.30 %,0.0611
L,GROUP_L,43,12,1,4,0,4,2,66,0.14 %,0.0003
M,AUSTRALIAN_CONSERVATIVES_NSW,467,136,4,29,14,32,9,691,1.47 %,0.0034
N,KEEP_SYDNEY_OPEN,318,74,0,71,9,35,21,528,1.12 %,0.0026
O,LIBERAL_DEMOCRATS,662,194,2,69,23,38,18,1006,2.14 %,0.005
P,VOLUNTARY_EUTHANASIA_PARTY,343,108,1,42,15,31,15,555,1.18 %,0.0027
Q,CHRISTIAN_DEMOCRATIC_PARTY_FRED_NILE_GROUP,572,181,1,46,27,28,17,872,1.85 %,0.0043
R,THE_SMALL_BUSINESS_PARTY,227,43,0,29,2,25,10,336,0.71 %,0.0017
S,GROUP_S,13,3,0,4,0,5,1,26,0.06 %,0.0001
T,PAULINE_HANSONS_ONE_NATION,3002,1170,4,383,124,201,84,4968,10.56 %,0.0246
_TOTAL_,TOTAL_VOTES,32128.0,11462.0,236.0,3697.0,1000.0,1642.0,989.0,51154.0,nan,nan
