area_id,Ordinary,Early Voting,Declared Facility,Absent,Postal,iVote,Enrolment / Provisional,Total Votes / Ballot Papers,% of Votes / Ballot Papers,Number of Quotas
albury,34,8,2,0,1,8,2,55,0.12 %,0.0003
auburn,37,9,0,4,1,11,1,63,0.15 %,0.0003
ballina,12,0,0,2,0,1,0,15,0.03 %,0.0001
balmain,9,7,0,0,0,5,2,23,0.05 %,0.0001
bankstown,43,11,1,3,1,12,3,74,0.18 %,0.0004
barwon,30,21,0,4,0,6,4,65,0.14 %,0.0003
bathurst,21,17,0,1,0,1,2,42,0.08 %,0.0002
baulkham-hills,28,2,0,3,0,9,0,42,0.08 %,0.0002
bega,7,12,0,3,1,0,1,24,0.05 %,0.0001
blacktown,44,15,0,6,0,7,1,73,0.16 %,0.0004
blue-mountains,12,3,0,2,2,0,0,19,0.04 %,0.0001
cabramatta,71,35,0,10,1,10,5,132,0.30 %,0.0007
camden,29,8,1,3,0,9,0,50,0.08 %,0.0002
campbelltown,33,2,0,3,0,4,0,42,0.09 %,0.0002
canterbury,34,9,0,4,1,3,4,55,0.12 %,0.0003
castle-hill,38,10,0,6,0,7,2,63,0.12 %,0.0003
cessnock,20,16,0,4,0,5,1,46,0.09 %,0.0002
charlestown,23,2,0,2,1,2,0,30,0.06 %,0.0001
clarence,18,14,2,4,0,4,2,44,0.09 %,0.0002
coffs-harbour,17,12,1,2,0,0,1,33,0.07 %,0.0002
coogee,10,4,0,2,2,2,2,22,0.05 %,0.0001
cootamundra,21,19,1,1,0,0,2,44,0.10 %,0.0002
cronulla,11,7,0,2,0,4,1,25,0.05 %,0.0001
davidson,11,0,1,2,0,4,0,18,0.04 %,0.0001
drummoyne,9,0,0,4,1,5,0,19,0.04 %,0.0001
dubbo,23,23,1,1,0,3,1,52,0.11 %,0.0003
east-hills,22,7,0,2,2,6,0,39,0.08 %,0.0002
epping,11,5,0,1,0,4,2,23,0.05 %,0.0001
fairfield,46,37,0,9,1,8,0,101,0.24 %,0.0005
gosford,22,11,0,0,1,3,1,38,0.08 %,0.0002
goulburn,17,7,0,0,2,3,1,30,0.06 %,0.0001
granville,28,6,0,2,0,10,2,48,0.11 %,0.0002
hawkesbury,18,5,0,1,1,4,2,31,0.06 %,0.0002
heathcote,6,2,0,0,0,3,1,12,0.02 %,0.0001
heffron,17,2,0,1,2,8,2,32,0.06 %,0.0002
holsworthy,23,10,0,5,0,12,1,51,0.11 %,0.0003
hornsby,14,9,0,4,4,8,0,39,0.08 %,0.0002
keira,23,5,0,4,1,6,0,39,0.08 %,0.0002
kiama,22,8,0,2,2,3,1,38,0.08 %,0.0002
kogarah,25,6,0,4,1,7,2,45,0.10 %,0.0002
ku-ring-gai,17,1,0,2,0,3,2,25,0.05 %,0.0001
lake-macquarie,26,4,0,6,0,2,2,40,0.08 %,0.0002
lakemba,36,8,0,8,0,2,7,61,0.14 %,0.0003
lane-cove,20,3,0,1,1,5,1,31,0.06 %,0.0002
lismore,10,6,0,1,0,1,0,18,0.04 %,0.0001
liverpool,58,22,0,9,0,10,2,101,0.23 %,0.0005
londonderry,22,11,0,8,1,8,3,53,0.10 %,0.0003
macquarie-fields,35,9,0,3,0,15,3,65,0.13 %,0.0003
maitland,20,12,0,2,0,4,2,40,0.08 %,0.0002
manly,15,5,0,3,2,8,0,33,0.07 %,0.0002
maroubra,25,10,0,1,0,8,0,44,0.09 %,0.0002
miranda,7,3,0,4,0,5,2,21,0.04 %,0.0001
monaro,11,10,0,1,0,2,1,25,0.05 %,0.0001
mount-druitt,36,7,0,8,0,8,2,61,0.13 %,0.0003
mulgoa,31,3,0,8,0,7,0,49,0.10 %,0.0002
murray,32,19,0,2,0,2,1,56,0.12 %,0.0003
myall-lakes,29,20,0,5,0,3,2,59,0.12 %,0.0003
newcastle,14,3,1,4,0,4,0,26,0.05 %,0.0001
newtown,18,3,0,0,1,1,0,23,0.05 %,0.0001
north-shore,11,2,0,2,0,7,1,23,0.05 %,0.0001
northern-tablelands,29,10,0,2,1,2,1,45,0.10 %,0.0002
oatley,24,1,0,5,0,3,1,34,0.07 %,0.0002
orange,19,14,0,3,1,3,0,40,0.08 %,0.0002
oxley,21,9,1,2,2,5,0,40,0.08 %,0.0002
parramatta,25,7,0,3,1,10,3,49,0.10 %,0.0002
penrith,12,16,0,7,2,4,0,41,0.09 %,0.0002
pittwater,13,2,0,2,0,4,1,22,0.05 %,0.0001
port-macquarie,27,14,2,1,0,2,0,46,0.09 %,0.0002
port-stephens,14,10,0,4,0,6,1,35,0.07 %,0.0002
prospect,50,3,0,14,0,4,0,71,0.16 %,0.0004
riverstone,20,6,0,2,1,9,1,39,0.07 %,0.0002
rockdale,31,4,0,8,0,5,2,50,0.11 %,0.0002
ryde,20,6,1,3,0,6,3,39,0.08 %,0.0002
seven-hills,33,8,1,7,1,5,2,57,0.12 %,0.0003
shellharbour,26,18,0,3,0,4,1,52,0.10 %,0.0003
south-coast,13,12,0,4,1,5,1,36,0.08 %,0.0002
strathfield,21,5,0,7,0,6,2,41,0.09 %,0.0002
summer-hill,19,10,0,1,0,4,0,34,0.07 %,0.0002
swansea,24,7,0,1,2,2,0,36,0.07 %,0.0002
sydney,14,3,0,3,0,4,1,25,0.06 %,0.0001
tamworth,30,19,1,4,0,2,0,56,0.11 %,0.0003
terrigal,16,6,0,4,0,4,0,30,0.06 %,0.0001
