area_id,Ordinary,Early Voting,Declared Facility,Absent,Postal,iVote,Enrolment / Provisional,Total Votes / Ballot Papers,% of Votes / Ballot Papers,Number of Quotas
albury,175,52,2,11,13,17,1,271,0.58 %,0.0013
auburn,118,22,0,21,13,20,6,200,0.46 %,0.001
ballina,53,28,0,11,2,1,2,97,0.20 %,0.0005
balmain,74,25,0,17,6,12,6,140,0.29 %,0.0007
bankstown,144,43,0,26,3,22,11,249,0.60 %,0.0012
barwon,85,60,0,14,13,7,5,184,0.41 %,0.0009
bathurst,104,57,1,9,10,3,6,190,0.38 %,0.0009
baulkham-hills,186,45,1,20,12,20,3,287,0.58 %,0.0014
bega,206,115,1,20,16,9,4,371,0.76 %,0.0018
blacktown,128,36,0,16,8,14,5,207,0.46 %,0.001
blue-mountains,145,55,0,14,8,12,5,239,0.49 %,0.0012
cabramatta,154,84,0,31,8,17,10,304,0.68 %,0.0015
camden,153,50,0,22,11,15,6,257,0.42 %,0.0013
campbelltown,147,29,0,14,5,12,4,211,0.47 %,0.001
canterbury,180,26,0,18,4,21,6,255,0.54 %,0.0013
castle-hill,235,93,0,32,6,34,7,407,0.78 %,0.002
cessnock,141,53,0,32,11,8,8,253,0.51 %,0.0013
charlestown,224,47,0,27,17,14,12,341,0.71 %,0.0017
clarence,105,46,0,14,1,5,4,175,0.36 %,0.0009
coffs-harbour,112,37,0,8,10,17,3,187,0.40 %,0.0009
coogee,78,30,2,5,5,13,4,137,0.30 %,0.0007
cootamundra,107,84,0,18,2,15,2,228,0.50 %,0.0011
cronulla,99,21,0,5,2,13,0,140,0.28 %,0.0007
davidson,159,20,0,27,10,16,5,237,0.49 %,0.0012
drummoyne,120,16,0,22,10,23,9,200,0.43 %,0.001
dubbo,164,134,4,11,18,11,8,350,0.74 %,0.0017
east-hills,133,42,0,14,6,11,1,207,0.45 %,0.001
epping,258,71,2,25,21,22,12,411,0.84 %,0.002
fairfield,131,68,1,15,7,14,6,242,0.58 %,0.0012
gosford,155,68,0,9,7,13,3,255,0.54 %,0.0013
goulburn,129,50,0,15,5,16,5,220,0.44 %,0.0011
granville,121,46,0,26,7,22,3,225,0.53 %,0.0011
hawkesbury,184,39,0,12,9,10,13,267,0.55 %,0.0013
heathcote,150,32,0,14,6,17,4,223,0.44 %,0.0011
heffron,117,15,0,39,6,18,11,206,0.42 %,0.001
holsworthy,171,34,0,25,6,24,8,268,0.58 %,0.0013
hornsby,382,88,0,36,16,28,12,562,1.14 %,0.0028
keira,129,28,0,11,11,16,3,198,0.39 %,0.001
kiama,82,63,1,15,3,10,3,177,0.37 %,0.0009
kogarah,155,40,0,18,6,19,7,245,0.56 %,0.0012
ku-ring-gai,226,48,1,32,21,36,11,375,0.78 %,0.0019
lake-macquarie,386,229,2,26,20,11,17,691,1.42 %,0.0034
lakemba,187,37,0,22,4,15,3,268,0.63 %,0.0013
lane-cove,148,34,0,22,14,23,4,245,0.49 %,0.0012
lismore,137,71,2,20,16,14,7,267,0.56 %,0.0013
liverpool,320,70,0,28,4,30,17,469,1.05 %,0.0023
londonderry,172,65,0,34,3,15,5,294,0.57 %,0.0015
macquarie-fields,182,41,1,27,11,25,7,294,0.57 %,0.0015
maitland,174,56,2,18,1,10,5,266,0.51 %,0.0013
manly,97,33,0,6,2,10,2,150,0.31 %,0.0007
maroubra,169,73,2,21,8,27,3,303,0.65 %,0.0015
miranda,138,26,1,7,6,17,5,200,0.42 %,0.001
monaro,131,49,1,11,16,27,4,239,0.49 %,0.0012
mount-druitt,280,102,1,28,5,18,9,443,0.97 %,0.0022
mulgoa,170,28,0,24,14,27,6,269,0.54 %,0.0013
murray,90,52,0,6,4,15,4,171,0.37 %,0.0008
myall-lakes,136,94,1,9,18,6,5,269,0.55 %,0.0013
newcastle,164,34,0,21,8,8,3,238,0.48 %,0.0012
newtown,63,13,0,13,2,21,2,114,0.25 %,0.0006
north-shore,217,54,2,18,7,35,5,338,0.71 %,0.0017
northern-tablelands,120,86,2,8,6,13,7,242,0.51 %,0.0012
oatley,149,24,0,21,3,20,5,222,0.47 %,0.0011
orange,168,101,0,12,11,5,6,303,0.62 %,0.0015
oxley,104,41,2,18,7,5,5,182,0.38 %,0.0009
parramatta,149,20,1,33,9,39,9,260,0.55 %,0.0013
penrith,163,46,1,15,10,7,10,252,0.53 %,0.0012
pittwater,398,188,2,16,15,15,4,638,1.32 %,0.0032
port-macquarie,149,72,1,24,7,13,3,269,0.52 %,0.0013
port-stephens,112,64,0,17,11,8,8,220,0.46 %,0.0011
prospect,194,27,1,34,5,24,14,299,0.66 %,0.0015
