area_id,Ordinary,Early Voting,Declared Facility,Absent,Postal,iVote,Enrolment / Provisional,Total Votes / Ballot Papers,% of Votes / Ballot Papers,Number of Quotas
albury,79,23,1,1,7,11,5,127,0.27 %,0.0006
auburn,224,66,0,19,2,11,12,334,0.77 %,0.0017
ballina,66,38,1,10,7,4,4,130,0.26 %,0.0006
balmain,126,31,0,9,6,11,6,189,0.38 %,0.0009
bankstown,167,74,1,23,2,6,3,276,0.67 %,0.0014
barwon,86,44,0,9,0,2,1,142,0.31 %,0.0007
bathurst,85,29,0,5,4,2,1,126,0.25 %,0.0006
baulkham-hills,93,16,1,13,4,9,2,138,0.28 %,0.0007
bega,65,67,1,4,0,3,2,142,0.29 %,0.0007
blacktown,119,59,0,13,2,14,6,213,0.47 %,0.0011
blue-mountains,98,34,0,6,4,6,4,152,0.31 %,0.0008
cabramatta,210,140,1,22,2,7,13,395,0.89 %,0.002
camden,115,30,0,7,3,6,12,173,0.28 %,0.0009
campbelltown,121,41,0,7,1,5,8,183,0.41 %,0.0009
canterbury,185,50,1,16,1,6,5,264,0.56 %,0.0013
castle-hill,74,9,0,6,5,15,3,112,0.22 %,0.0006
cessnock,104,30,0,11,5,7,8,165,0.34 %,0.0008
charlestown,128,30,0,21,10,5,3,197,0.41 %,0.001
clarence,71,35,1,6,1,6,2,122,0.25 %,0.0006
coffs-harbour,73,25,1,2,2,3,2,108,0.23 %,0.0005
coogee,76,31,1,6,6,14,1,135,0.29 %,0.0007
cootamundra,61,38,0,9,1,5,3,117,0.26 %,0.0006
cronulla,92,18,1,5,1,6,2,125,0.25 %,0.0006
davidson,94,11,0,12,4,15,3,139,0.29 %,0.0007
drummoyne,94,6,0,11,6,13,2,132,0.28 %,0.0007
dubbo,106,84,1,12,3,17,2,225,0.48 %,0.0011
east-hills,137,57,0,11,1,3,10,219,0.47 %,0.0011
epping,88,11,0,9,3,14,3,128,0.26 %,0.0006
fairfield,218,168,0,15,2,11,7,421,1.00 %,0.0021
gosford,101,44,1,14,3,11,2,176,0.37 %,0.0009
goulburn,70,42,1,3,3,8,2,129,0.26 %,0.0006
granville,157,54,1,17,1,14,6,250,0.59 %,0.0012
hawkesbury,63,20,0,6,0,3,6,98,0.20 %,0.0005
heathcote,140,24,0,7,5,10,4,190,0.38 %,0.0009
heffron,123,18,0,20,1,20,9,191,0.39 %,0.0009
holsworthy,124,18,0,11,1,8,6,168,0.36 %,0.0008
hornsby,96,18,0,8,6,9,3,140,0.28 %,0.0007
keira,116,31,1,11,2,8,4,173,0.34 %,0.0009
kiama,71,58,0,7,4,2,2,144,0.30 %,0.0007
