area_id,Ordinary,Early Voting,Declared Facility,Absent,Postal,iVote,Enrolment / Provisional,Total Votes / Ballot Papers,% of Votes / Ballot Papers,Number of Quotas
albury,46,12,0,1,3,4,0,66,0.14 %,0.0003
auburn,86,19,0,4,1,10,3,123,0.28 %,0.0006
ballina,7,12,0,0,1,7,1,28,0.06 %,0.0001
balmain,18,7,0,1,0,6,0,32,0.07 %,0.0002
bankstown,81,30,0,12,0,9,5,137,0.33 %,0.0007
barwon,40,24,0,4,1,4,1,74,0.16 %,0.0004
bathurst,24,23,2,3,0,3,0,55,0.11 %,0.0003
baulkham-hills,19,7,0,3,0,8,2,39,0.08 %,0.0002
bega,24,17,0,2,1,3,2,49,0.10 %,0.0002
blacktown,43,18,1,5,0,8,1,76,0.17 %,0.0004
blue-mountains,16,4,0,2,0,1,1,24,0.05 %,0.0001
cabramatta,84,70,0,13,0,15,6,188,0.42 %,0.0009
camden,44,8,0,9,3,8,2,74,0.12 %,0.0004
campbelltown,64,11,0,7,1,11,3,97,0.22 %,0.0005
canterbury,105,21,0,10,3,5,3,147,0.31 %,0.0007
castle-hill,25,3,0,3,4,10,0,45,0.09 %,0.0002
cessnock,31,12,0,4,0,6,1,54,0.11 %,0.0003
charlestown,37,6,0,7,1,6,0,57,0.12 %,0.0003
clarence,55,26,0,1,0,4,1,87,0.18 %,0.0004
coffs-harbour,29,14,1,3,1,5,1,54,0.12 %,0.0003
coogee,14,3,0,3,0,3,0,23,0.05 %,0.0001
cootamundra,45,29,0,1,1,5,2,83,0.18 %,0.0004
cronulla,25,9,0,4,2,1,1,42,0.08 %,0.0002
davidson,26,2,0,1,2,10,2,43,0.09 %,0.0002
drummoyne,18,5,0,3,2,7,1,36,0.08 %,0.0002
dubbo,24,28,1,2,0,2,2,59,0.13 %,0.0003
east-hills,73,19,0,7,1,9,1,110,0.24 %,0.0005
epping,42,13,6,3,0,5,4,73,0.15 %,0.0004
fairfield,87,93,0,13,1,14,6,214,0.51 %,0.0011
gosford,27,13,1,5,1,5,1,53,0.11 %,0.0003
goulburn,27,23,0,1,0,6,2,59,0.12 %,0.0003
granville,55,14,0,5,7,17,4,102,0.24 %,0.0005
hawkesbury,32,10,0,5,2,3,1,53,0.11 %,0.0003
heathcote,20,16,0,2,1,3,3,45,0.09 %,0.0002
heffron,37,3,0,8,1,7,4,60,0.12 %,0.0003
holsworthy,48,16,0,10,0,11,3,88,0.19 %,0.0004
hornsby,36,5,0,5,3,2,1,52,0.11 %,0.0003
keira,63,15,0,3,0,10,1,92,0.18 %,0.0005
kiama,16,22,1,5,0,2,0,46,0.10 %,0.0002
kogarah,82,20,0,1,1,10,1,115,0.26 %,0.0006
ku-ring-gai,42,9,33,7,5,7,0,103,0.21 %,0.0005
lake-macquarie,49,17,0,8,1,7,2,84,0.17 %,0.0004
lakemba,123,30,0,12,2,11,6,184,0.43 %,0.0009
lane-cove,38,9,2,3,3,14,1,70,0.14 %,0.0003
lismore,22,13,0,2,1,4,2,44,0.09 %,0.0002
liverpool,94,49,0,10,2,12,2,169,0.38 %,0.0008
londonderry,53,14,0,6,1,6,6,86,0.17 %,0.0004
macquarie-fields,53,23,1,11,1,7,2,98,0.19 %,0.0005
maitland,33,17,0,9,2,7,3,71,0.14 %,0.0004
manly,25,3,0,1,0,2,0,31,0.06 %,0.0002
maroubra,52,16,1,4,1,5,0,79,0.17 %,0.0004
miranda,45,13,0,3,6,10,0,77,0.16 %,0.0004
monaro,23,10,0,0,1,12,1,47,0.10 %,0.0002
mount-druitt,51,16,0,5,1,4,1,78,0.17 %,0.0004
mulgoa,54,4,0,9,0,8,0,75,0.15 %,0.0004
murray,40,18,1,0,4,8,0,71,0.16 %,0.0004
myall-lakes,35,20,0,3,1,1,0,60,0.12 %,0.0003
newcastle,27,5,0,3,0,1,1,37,0.07 %,0.0002
newtown,22,1,0,2,0,4,1,30,0.06 %,0.0001
north-shore,21,1,0,0,1,8,2,33,0.07 %,0.0002
northern-tablelands,18,12,0,0,2,5,0,37,0.08 %,0.0002
oatley,25,5,1,1,2,6,1,41,0.09 %,0.0002
orange,31,14,1,7,2,4,3,62,0.13 %,0.0003
oxley,34,13,0,3,0,2,2,54,0.11 %,0.0003
parramatta,48,4,0,5,2,14,4,77,0.16 %,0.0004
penrith,33,10,0,4,1,9,0,57,0.12 %,0.0003
pittwater,10,5,1,3,2,6,0,27,0.06 %,0.0001
port-macquarie,25,30,0,6,1,4,0,66,0.13 %,0.0003
port-stephens,37,19,0,1,3,1,1,62,0.13 %,0.0003
prospect,62,8,0,20,2,9,2,103,0.23 %,0.0005
riverstone,19,12,0,4,1,10,0,46,0.09 %,0.0002
rockdale,69,16,1,5,1,5,4,101,0.22 %,0.0005
ryde,34,12,0,5,4,14,0,69,0.15 %,0.0003
seven-hills,40,8,0,3,1,4,0,56,0.12 %,0.0003
shellharbour,56,60,1,2,0,6,0,125,0.23 %,0.0006
south-coast,24,23,2,1,0,3,3,56,0.12 %,0.0003
strathfield,44,9,0,4,0,10,1,68,0.15 %,0.0003
summer-hill,46,19,0,3,1,6,1,76,0.16 %,0.0004
swansea,41,11,0,10,0,5,0,67,0.14 %,0.0003
sydney,13,7,0,2,0,13,2,37,0.09 %,0.0002
tamworth,42,20,1,2,1,0,2,68,0.14 %,0.0003
terrigal,35,6,0,4,5,0,1,51,0.10 %,0.0003
the-entrance,34,11,0,5,0,4,2,56,0.12 %,0.0003
tweed,15,3,1,0,0,4,0,23,0.05 %,0.0001
upper-hunter,24,17,0,3,1,4,1,50,0.10 %,0.0002
vaucluse,19,5,0,2,1,1,0,28,0.06 %,0.0001
wagga-wagga,53,26,1,4,3,6,2,95,0.20 %,0.0005
wakehurst,40,8,0,5,0,7,2,62,0.13 %,0.0003
wallsend,43,4,1,4,2,5,1,60,0.12 %,0.0003
willoughby,36,5,2,5,1,6,0,55,0.12 %,0.0003
wollondilly,37,3,1,0,2,5,0,48,0.10 %,0.0002
wollongong,74,22,0,4,2,5,1,108,0.22 %,0.0005
wyong,41,14,0,4,4,6,2,71,0.15 %,0.0004
