area_id,Ordinary,Early Voting,Declared Facility,Absent,Postal,iVote,Enrolment / Provisional,Total Votes / Ballot Papers,% of Votes / Ballot Papers,Number of Quotas
albury,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.00 %,0.0
auburn,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.00 %,0.0
ballina,2.0,1.0,0.0,0.0,2.0,0.0,0.0,5.0,0.01 %,0.0
balmain,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.01 %,0.0
bankstown,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.00 %,0.0
barwon,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.00 %,0.0
bathurst,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.00 %,0.0
baulkham-hills,2.0,0.0,0.0,0.0,0.0,3.0,0.0,5.0,0.01 %,0.0
bega,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00 %,0.0
blacktown,2.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0,0.01 %,0.0
blue-mountains,1.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.01 %,0.0
cabramatta,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.00 %,0.0
camden,1.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.00 %,0.0
campbelltown,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.00 %,0.0
canterbury,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.00 %,0.0
castle-hill,2.0,0.0,0.0,1.0,4.0,1.0,0.0,8.0,0.02 %,0.0
cessnock,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.00 %,0.0
charlestown,2.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.01 %,0.0
clarence,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00 %,0.0
coffs-harbour,4.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.01 %,0.0
coogee,3.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.01 %,0.0
cootamundra,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00 %,0.0
cronulla,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.00 %,0.0
davidson,6.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,0.01 %,0.0
drummoyne,5.0,2.0,0.0,0.0,0.0,0.0,0.0,7.0,0.02 %,0.0
dubbo,1.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.01 %,0.0
east-hills,1.0,0.0,0.0,0.0,0.0,3.0,0.0,4.0,0.01 %,0.0
epping,3.0,0.0,0.0,2.0,1.0,2.0,0.0,8.0,0.02 %,0.0
fairfield,1.0,0.0,0.0,0.0,0.0,3.0,1.0,5.0,0.01 %,0.0
gosford,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.00 %,0.0
goulburn,1.0,1.0,0.0,0.0,2.0,0.0,0.0,4.0,0.01 %,0.0
granville,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.00 %,0.0
hawkesbury,3.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.01 %,0.0
heathcote,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.00 %,0.0
heffron,2.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,0.01 %,0.0
holsworthy,3.0,0.0,0.0,0.0,3.0,1.0,0.0,7.0,0.02 %,0.0
hornsby,4.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,0.01 %,0.0
keira,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.00 %,0.0
kiama,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.00 %,0.0
kogarah,1.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,0.01 %,0.0
ku-ring-gai,3.0,1.0,0.0,0.0,0.0,1.0,0.0,5.0,0.01 %,0.0
lake-macquarie,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.01 %,0.0
lakemba,2.0,1.0,0.0,0.0,0.0,2.0,0.0,5.0,0.01 %,0.0
lane-cove,5.0,1.0,0.0,0.0,0.0,1.0,0.0,7.0,0.01 %,0.0
lismore,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.00 %,0.0
liverpool,1.0,1.0,0.0,0.0,1.0,1.0,0.0,4.0,0.01 %,0.0
londonderry,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.00 %,0.0
macquarie-fields,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.00 %,0.0
maitland,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.00 %,0.0
manly,2.0,1.0,0.0,0.0,2.0,0.0,0.0,5.0,0.01 %,0.0
maroubra,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00 %,0.0
miranda,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.00 %,0.0
monaro,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.00 %,0.0
mount-druitt,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.00 %,0.0
mulgoa,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.00 %,0.0
murray,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00 %,0.0
myall-lakes,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.00 %,0.0
newcastle,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.00 %,0.0
newtown,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.00 %,0.0
north-shore,12.0,5.0,0.0,1.0,2.0,3.0,0.0,23.0,0.05 %,0.0001
northern-tablelands,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.00 %,0.0
oatley,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.00 %,0.0
orange,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.00 %,0.0
oxley,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.00 %,0.0
parramatta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00 %,0.0
penrith,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.00 %,0.0
pittwater,28.0,10.0,0.0,4.0,2.0,1.0,0.0,45.0,0.09 %,0.0002
port-macquarie,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.00 %,0.0
port-stephens,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.01 %,0.0
prospect,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.00 %,0.0
riverstone,1.0,0.0,0.0,0.0,0.0,3.0,0.0,4.0,0.01 %,0.0
rockdale,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.00 %,0.0
ryde,2.0,2.0,0.0,0.0,0.0,2.0,0.0,6.0,0.01 %,0.0
seven-hills,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.00 %,0.0
shellharbour,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00 %,0.0
south-coast,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.00 %,0.0
strathfield,2.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.01 %,0.0
summer-hill,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.00 %,0.0
swansea,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.00 %,0.0
sydney,3.0,0.0,0.0,1.0,0.0,1.0,0.0,5.0,0.01 %,0.0
tamworth,3.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.01 %,0.0
terrigal,3.0,0.0,0.0,0.0,0.0,2.0,0.0,5.0,0.01 %,0.0
the-entrance,2.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.01 %,0.0
tweed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00 %,0.0
upper-hunter,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.00 %,0.0
vaucluse,2.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.01 %,0.0
wagga-wagga,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.00 %,0.0
wakehurst,10.0,1.0,0.0,0.0,0.0,1.0,0.0,12.0,0.03 %,0.0001
wallsend,1.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,0.01 %,0.0
willoughby,4.0,0.0,0.0,1.0,0.0,1.0,0.0,6.0,0.01 %,0.0
wollondilly,0.0,0.0,0.0,0.0,2.0,1.0,0.0,3.0,0.01 %,0.0
wollongong,0.0,1.0,0.0,0.0,0.0,2.0,0.0,3.0,0.01 %,0.0
wyong,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00 %,0.0
