area_id,Ordinary,Early Voting,Declared Facility,Absent,Postal,iVote,Enrolment / Provisional,Total Votes / Ballot Papers,% of Votes / Ballot Papers,Number of Quotas
albury,63,28,0,2,2,8,1,104,0.22 %,0.0005
auburn,75,23,1,9,3,9,2,122,0.28 %,0.0006
ballina,127,65,0,8,5,9,5,219,0.44 %,0.0011
balmain,97,16,0,9,5,12,2,141,0.29 %,0.0007
bankstown,55,21,0,6,0,6,3,91,0.22 %,0.0004
barwon,721,415,1,25,40,48,14,1264,2.80 %,0.0062
bathurst,90,45,1,7,9,6,3,161,0.33 %,0.0008
baulkham-hills,35,11,0,6,2,12,2,68,0.14 %,0.0003
bega,36,23,2,5,1,4,1,72,0.15 %,0.0004
blacktown,71,23,0,8,2,8,3,115,0.25 %,0.0006
blue-mountains,86,32,0,7,6,10,0,141,0.29 %,0.0007
cabramatta,96,49,0,10,0,7,5,167,0.38 %,0.0008
camden,45,14,0,8,1,8,1,77,0.13 %,0.0004
campbelltown,40,11,0,8,0,7,2,68,0.15 %,0.0003
canterbury,62,18,0,9,1,9,0,99,0.21 %,0.0005
castle-hill,31,7,0,5,4,4,0,51,0.10 %,0.0003
cessnock,38,26,0,9,3,2,3,81,0.16 %,0.0004
charlestown,73,13,0,9,1,6,0,102,0.21 %,0.0005
clarence,89,27,1,11,0,10,0,138,0.29 %,0.0007
coffs-harbour,112,44,0,6,7,9,4,182,0.39 %,0.0009
coogee,43,22,1,9,1,9,0,85,0.19 %,0.0004
cootamundra,39,29,1,2,1,6,0,78,0.17 %,0.0004
cronulla,36,5,0,7,1,3,0,52,0.10 %,0.0003
davidson,61,10,1,6,1,8,0,87,0.18 %,0.0004
drummoyne,35,2,0,6,1,6,3,53,0.11 %,0.0003
dubbo,77,74,1,10,0,10,3,175,0.37 %,0.0009
east-hills,39,17,0,4,4,4,1,69,0.15 %,0.0003
epping,46,16,0,3,2,10,4,81,0.17 %,0.0004
fairfield,62,49,0,8,0,6,4,129,0.31 %,0.0006
gosford,51,30,2,3,2,6,1,95,0.20 %,0.0005
goulburn,71,28,0,6,2,7,4,118,0.23 %,0.0006
granville,42,15,0,9,1,9,0,76,0.18 %,0.0004
hawkesbury,51,15,0,7,4,6,0,83,0.17 %,0.0004
heathcote,66,6,0,4,1,5,0,82,0.16 %,0.0004
heffron,52,10,0,9,2,7,0,80,0.16 %,0.0004
holsworthy,33,13,0,7,0,5,1,59,0.13 %,0.0003
hornsby,62,18,0,4,3,6,0,93,0.19 %,0.0005
keira,63,14,0,1,2,8,2,90,0.18 %,0.0004
kiama,66,35,0,7,2,5,1,116,0.24 %,0.0006
kogarah,49,14,0,8,0,12,1,84,0.19 %,0.0004
