area_id,Ordinary,Early Voting,Declared Facility,Absent,Postal,iVote,Enrolment / Provisional,Total Votes / Ballot Papers,% of Votes / Ballot Papers,Number of Quotas
albury,13,4,1,0,1,6,0,25,0.05 %,0.0001
auburn,33,4,0,3,0,10,0,50,0.12 %,0.0002
ballina,20,6,0,2,0,2,0,30,0.06 %,0.0001
balmain,29,5,0,6,1,12,1,54,0.11 %,0.0003
bankstown,12,10,0,0,1,13,1,37,0.09 %,0.0002
barwon,9,7,0,0,0,4,0,20,0.04 %,0.0001
bathurst,17,4,0,1,1,4,1,28,0.06 %,0.0001
baulkham-hills,27,0,0,0,1,5,0,33,0.07 %,0.0002
bega,1,0,0,0,0,1,0,2,0.00 %,0.0
blacktown,23,3,0,3,0,11,1,41,0.09 %,0.0002
blue-mountains,20,0,0,0,0,5,0,25,0.05 %,0.0001
cabramatta,13,15,0,4,1,9,1,43,0.10 %,0.0002
camden,21,6,0,4,0,8,1,40,0.07 %,0.0002
campbelltown,14,2,0,1,0,11,0,28,0.06 %,0.0001
canterbury,27,9,0,4,1,10,2,53,0.11 %,0.0003
castle-hill,16,1,0,3,0,8,0,28,0.05 %,0.0001
cessnock,16,7,0,0,2,0,0,25,0.05 %,0.0001
charlestown,15,2,0,1,1,5,1,25,0.05 %,0.0001
clarence,11,3,0,1,0,3,0,18,0.04 %,0.0001
coffs-harbour,10,5,0,2,0,2,0,19,0.04 %,0.0001
coogee,42,8,0,4,0,10,1,65,0.14 %,0.0003
cootamundra,8,6,1,1,1,6,0,23,0.05 %,0.0001
cronulla,5,1,0,0,0,5,0,11,0.02 %,0.0001
davidson,23,5,0,1,1,11,2,43,0.09 %,0.0002
drummoyne,13,1,0,3,1,11,2,31,0.07 %,0.0002
dubbo,20,16,1,0,0,2,1,40,0.08 %,0.0002
east-hills,23,6,0,4,0,3,0,36,0.08 %,0.0002
epping,19,2,0,2,2,12,2,39,0.08 %,0.0002
fairfield,13,14,0,5,0,9,0,41,0.10 %,0.0002
gosford,14,6,0,2,0,4,2,28,0.06 %,0.0001
goulburn,14,5,0,2,0,4,0,25,0.05 %,0.0001
granville,22,5,0,4,0,9,0,40,0.10 %,0.0002
hawkesbury,12,3,0,2,0,4,1,22,0.05 %,0.0001
heathcote,19,4,0,3,0,4,0,30,0.06 %,0.0001
heffron,31,5,0,5,3,14,0,58,0.12 %,0.0003
holsworthy,17,2,0,1,1,10,2,33,0.07 %,0.0002
hornsby,54,4,0,4,0,5,0,67,0.14 %,0.0003
keira,13,1,0,1,4,5,0,24,0.05 %,0.0001
kiama,11,3,0,2,1,1,0,18,0.04 %,0.0001
kogarah,19,8,0,1,1,16,0,45,0.10 %,0.0002
ku-ring-gai,34,7,0,2,2,6,0,51,0.11 %,0.0003
lake-macquarie,11,6,0,0,5,3,1,26,0.05 %,0.0001
lakemba,16,4,0,10,0,8,2,40,0.09 %,0.0002
lane-cove,32,4,1,8,1,10,2,58,0.12 %,0.0003
lismore,11,3,0,0,0,1,0,15,0.03 %,0.0001
liverpool,19,11,0,4,1,18,1,54,0.12 %,0.0003
londonderry,19,7,0,2,0,15,1,44,0.09 %,0.0002
macquarie-fields,15,6,0,3,1,14,1,40,0.08 %,0.0002
maitland,15,3,0,2,0,4,4,28,0.05 %,0.0001
manly,11,3,0,1,1,6,0,22,0.05 %,0.0001
maroubra,23,1,0,6,0,10,1,41,0.09 %,0.0002
miranda,17,4,0,3,0,11,0,35,0.07 %,0.0002
monaro,20,3,0,2,0,6,0,31,0.06 %,0.0002
mount-druitt,12,4,0,5,0,16,2,39,0.09 %,0.0002
mulgoa,19,4,0,4,0,7,1,35,0.07 %,0.0002
murray,11,4,0,0,0,3,0,18,0.04 %,0.0001
myall-lakes,11,7,0,2,1,2,0,23,0.05 %,0.0001
newcastle,22,3,0,4,1,4,0,34,0.07 %,0.0002
newtown,36,5,0,2,1,12,2,58,0.12 %,0.0003
north-shore,22,4,0,0,0,8,1,35,0.07 %,0.0002
northern-tablelands,6,4,0,2,1,6,1,20,0.04 %,0.0001
oatley,21,8,0,3,0,2,1,35,0.07 %,0.0002
orange,16,10,0,2,1,3,0,32,0.07 %,0.0002
oxley,6,2,0,0,4,5,0,17,0.04 %,0.0001
parramatta,24,2,0,3,4,10,0,43,0.09 %,0.0002
penrith,24,6,0,4,1,6,2,43,0.09 %,0.0002
pittwater,15,2,0,2,2,5,1,27,0.06 %,0.0001
port-macquarie,10,6,0,1,0,5,1,23,0.04 %,0.0001
port-stephens,7,2,0,0,2,3,0,14,0.03 %,0.0001
prospect,18,1,0,4,1,18,0,42,0.09 %,0.0002
riverstone,18,5,0,3,0,11,0,37,0.07 %,0.0002
rockdale,29,6,0,3,1,3,0,42,0.09 %,0.0002
ryde,27,3,0,5,2,16,0,53,0.11 %,0.0003
seven-hills,20,4,0,4,0,11,3,42,0.09 %,0.0002
shellharbour,10,13,0,0,1,9,1,34,0.06 %,0.0002
south-coast,15,9,0,2,0,6,1,33,0.07 %,0.0002
strathfield,28,10,0,1,0,17,1,57,0.13 %,0.0003
