area_id,Ordinary,Early Voting,Declared Facility,Absent,Postal,iVote,Enrolment / Provisional,Total Votes / Ballot Papers,% of Votes / Ballot Papers,Number of Quotas
albury,6146,2233,73,259,424,383,153,9671,20.67 %,0.0478
auburn,12792,3112,22,1623,375,1112,581,19617,45.17 %,0.097
ballina,6259,4180,34,569,359,390,248,12039,24.30 %,0.0595
balmain,8548,2912,41,1068,550,866,394,14379,29.29 %,0.0711
bankstown,12160,4788,33,1425,415,944,598,20363,49.40 %,0.1006
barwon,4953,3705,90,547,233,296,165,9989,22.10 %,0.0494
bathurst,5931,4165,92,541,263,268,220,11480,23.23 %,0.0567
baulkham-hills,7198,1237,6,841,318,655,299,10554,21.21 %,0.0522
bega,6953,5473,93,442,310,431,259,13961,28.42 %,0.069
blacktown,12038,4656,9,1499,417,963,465,20047,44.32 %,0.0991
blue-mountains,10443,4929,9,834,418,530,284,17447,35.87 %,0.0862
cabramatta,11298,7143,15,1268,367,1169,665,21925,49.31 %,0.1084
camden,10112,2964,0,1242,410,765,520,16013,26.06 %,0.0791
campbelltown,12400,3597,1,1058,339,624,440,18459,41.35 %,0.0912
canterbury,12747,3140,12,1526,464,912,497,19298,41.11 %,0.0954
castle-hill,6115,1002,4,847,293,563,299,9123,17.59 %,0.0451
cessnock,11561,4894,77,1699,371,609,382,19593,39.80 %,0.0968
charlestown,12341,2880,37,1641,720,602,402,18623,38.68 %,0.092
clarence,6004,3487,81,480,222,379,199,10852,22.51 %,0.0536
coffs-harbour,7126,2397,77,471,280,407,180,10938,23.57 %,0.0541
coogee,8241,3177,45,904,356,763,235,13721,29.98 %,0.0678
cootamundra,4081,3037,98,517,223,283,161,8400,18.32 %,0.0415
cronulla,6692,1987,5,733,243,500,183,10343,20.64 %,0.0511
davidson,4518,616,58,530,241,418,165,6546,13.46 %,0.0324
drummoyne,7509,1251,18,1051,399,751,275,11254,24.22 %,0.0556
dubbo,4433,3813,55,514,170,254,162,9401,19.96 %,0.0465
east-hills,10453,4265,27,938,462,686,463,17294,37.30 %,0.0855
epping,7482,1856,82,752,440,675,325,11612,23.80 %,0.0574
fairfield,10407,6678,20,1617,352,1062,532,20668,49.22 %,0.1022
gosford,9212,4824,151,988,295,557,260,16287,34.20 %,0.0805
goulburn,7502,4234,89,556,347,518,247,13493,26.84 %,0.0667
granville,11005,3783,4,1254,575,882,489,17992,42.73 %,0.0889
hawkesbury,5607,1662,5,592,288,323,198,8675,18.00 %,0.0429
heathcote,10048,2515,72,888,340,593,324,14780,29.20 %,0.0731
heffron,10641,1904,5,2238,364,1320,490,16962,34.27 %,0.0838
holsworthy,10686,2570,40,1289,425,843,455,16308,35.11 %,0.0806
