area_id,Ordinary,Early Voting,Declared Facility,Absent,Postal,iVote,Enrolment / Provisional,Total Votes / Ballot Papers,% of Votes / Ballot Papers,Number of Quotas
albury,569,185,14,38,30,48,8,892,1.91 %,0.0044
auburn,710,142,2,140,37,136,39,1206,2.78 %,0.006
ballina,182,119,1,27,19,13,13,374,0.75 %,0.0018
balmain,519,149,1,107,18,126,57,977,1.99 %,0.0048
bankstown,633,208,0,85,31,91,37,1085,2.63 %,0.0054
barwon,228,165,3,35,18,38,11,498,1.10 %,0.0025
bathurst,246,158,1,22,6,23,14,470,0.95 %,0.0023
baulkham-hills,1004,172,1,171,69,193,36,1646,3.31 %,0.0081
bega,393,263,8,35,24,32,12,767,1.56 %,0.0038
blacktown,738,203,0,117,29,91,14,1192,2.64 %,0.0059
blue-mountains,413,168,0,49,20,36,11,697,1.43 %,0.0034
cabramatta,922,399,2,128,16,127,54,1648,3.71 %,0.0081
camden,1001,253,0,160,38,125,60,1637,2.66 %,0.0081
campbelltown,788,180,1,92,19,57,24,1161,2.60 %,0.0057
canterbury,842,160,1,119,58,112,37,1329,2.83 %,0.0066
castle-hill,978,180,1,150,65,219,53,1646,3.17 %,0.0081
cessnock,376,148,1,74,9,34,20,662,1.34 %,0.0033
charlestown,547,107,1,79,36,57,20,847,1.76 %,0.0042
clarence,263,108,3,21,8,21,12,436,0.90 %,0.0022
coffs-harbour,395,147,9,33,16,41,11,652,1.41 %,0.0032
coogee,610,247,1,106,39,103,30,1136,2.48 %,0.0056
cootamundra,233,147,2,20,10,24,8,444,0.97 %,0.0022
cronulla,764,191,1,102,37,90,35,1220,2.43 %,0.006
davidson,925,139,6,139,60,156,49,1474,3.03 %,0.0073
drummoyne,852,124,2,151,61,190,34,1414,3.04 %,0.007
dubbo,224,216,1,21,8,23,10,503,1.07 %,0.0025
east-hills,707,211,0,82,39,85,32,1156,2.49 %,0.0057
epping,964,192,25,124,46,164,39,1554,3.18 %,0.0077
fairfield,678,365,2,104,25,104,32,1310,3.12 %,0.0065
gosford,587,274,4,81,24,61,17,1048,2.20 %,0.0052
goulburn,468,233,3,58,24,50,23,859,1.71 %,0.0042
granville,661,204,0,112,40,148,37,1202,2.85 %,0.0059
hawkesbury,914,209,0,122,61,97,48,1451,3.01 %,0.0072
heathcote,747,171,0,95,27,72,20,1132,2.24 %,0.0056
heffron,650,119,1,177,14,197,50,1208,2.44 %,0.006
holsworthy,727,171,12,109,37,115,31,1202,2.59 %,0.0059
hornsby,874,152,2,123,48,120,36,1355,2.75 %,0.0067
keira,631,211,2,64,27,55,20,1010,1.98 %,0.005
kiama,423,278,3,71,26,60,15,876,1.83 %,0.0043
kogarah,641,186,2,97,23,135,28,1112,2.52 %,0.0055
ku-ring-gai,774,166,6,133,62,127,42,1310,2.71 %,0.0065
lake-macquarie,634,247,15,72,46,37,13,1064,2.18 %,0.0053
lakemba,663,162,1,145,52,99,33,1155,2.71 %,0.0057
lane-cove,946,126,5,137,60,171,38,1483,2.95 %,0.0073
lismore,151,105,1,23,16,14,5,315,0.66 %,0.0016
liverpool,754,256,0,116,16,88,49,1279,2.88 %,0.0063
londonderry,743,215,1,126,23,96,38,1242,2.42 %,0.0061
macquarie-fields,687,214,2,161,34,93,44,1235,2.39 %,0.0061
maitland,485,205,2,51,26,44,23,836,1.61 %,0.0041
manly,843,208,4,124,49,106,43,1377,2.87 %,0.0068
maroubra,630,161,1,99,28,90,23,1032,2.21 %,0.0051
miranda,844,192,15,132,47,105,33,1368,2.85 %,0.0068
