area_id,Ordinary,Early Voting,Declared Facility,Absent,Postal,iVote,Enrolment / Provisional,Total Votes / Ballot Papers,% of Votes / Ballot Papers,Number of Quotas
albury,3266,1028,11,103,205,179,67,4859,10.38 %,0.024
auburn,739,206,1,116,96,104,23,1285,2.96 %,0.0064
ballina,1040,742,3,130,130,68,29,2142,4.32 %,0.0106
balmain,542,250,0,95,63,63,19,1032,2.10 %,0.0051
bankstown,985,393,3,114,131,105,37,1768,4.29 %,0.0087
barwon,2288,1482,4,352,242,236,64,4668,10.33 %,0.0231
bathurst,2644,1835,5,226,126,106,84,5026,10.17 %,0.0248
baulkham-hills,1365,320,2,110,155,127,32,2111,4.24 %,0.0104
bega,1723,1254,1,126,130,120,38,3392,6.90 %,0.0168
blacktown,2051,594,0,323,149,236,66,3419,7.56 %,0.0169
blue-mountains,1417,710,1,170,99,85,30,2512,5.16 %,0.0124
cabramatta,1305,362,0,168,116,148,50,2149,4.83 %,0.0106
camden,5364,1999,2,496,283,390,177,8711,14.18 %,0.0431
campbelltown,3329,1135,1,300,164,192,82,5203,11.66 %,0.0257
canterbury,1102,281,0,129,100,113,21,1746,3.72 %,0.0086
castle-hill,1548,340,2,227,194,245,59,2615,5.04 %,0.0129
cessnock,3654,1373,5,562,145,250,106,6095,12.38 %,0.0301
charlestown,2131,543,3,313,150,140,53,3333,6.92 %,0.0165
clarence,2802,1350,6,214,98,151,64,4685,9.72 %,0.0232
coffs-harbour,2434,737,5,142,121,174,52,3665,7.90 %,0.0181
coogee,514,287,2,87,53,51,15,1009,2.20 %,0.005
cootamundra,2338,1487,2,247,162,172,69,4477,9.77 %,0.0221
cronulla,2000,673,0,169,136,156,28,3162,6.31 %,0.0156
davidson,983,163,8,86,90,68,22,1420,2.92 %,0.007
drummoyne,1103,222,1,121,113,128,19,1707,3.67 %,0.0084
dubbo,2365,2270,9,205,150,126,57,5182,11.00 %,0.0256
east-hills,1624,633,1,168,185,140,47,2798,6.03 %,0.0138
epping,890,217,12,98,134,89,13,1453,2.98 %,0.0072
fairfield,995,400,1,171,98,133,32,1830,4.36 %,0.009
gosford,2107,1001,12,244,133,126,55,3678,7.72 %,0.0182
goulburn,3037,1686,9,259,193,219,97,5500,10.94 %,0.0272
granville,905,436,0,134,167,130,40,1812,4.30 %,0.009
hawkesbury,3524,1003,1,336,267,240,116,5487,11.38 %,0.0271
heathcote,2265,611,1,219,190,188,54,3528,6.97 %,0.0174
heffron,758,133,0,185,60,116,15,1267,2.56 %,0.0063
holsworthy,2395,569,5,297,182,247,57,3752,8.08 %,0.0185
hornsby,1689,531,3,129,146,106,34,2638,5.35 %,0.013
keira,1863,695,3,213,124,151,49,3098,6.08 %,0.0153
kiama,1778,1254,7,313,140,164,54,3710,7.75 %,0.0183
kogarah,1359,325,6,142,96,82,29,2039,4.62 %,0.0101
ku-ring-gai,881,231,11,99,91,72,25,1410,2.91 %,0.007
lake-macquarie,3528,1247,9,462,201,170,82,5699,11.68 %,0.0282
lakemba,832,228,0,149,113,84,23,1429,3.35 %,0.0071
lane-cove,985,198,2,106,114,110,27,1542,3.07 %,0.0076
lismore,1613,1002,4,215,135,95,48,3112,6.55 %,0.0154
liverpool,1638,553,0,222,126,221,76,2836,6.38 %,0.014
londonderry,3398,978,0,452,190,308,143,5469,10.65 %,0.027
macquarie-fields,2931,1063,3,417,161,274,100,4949,9.58 %,0.0245
maitland,3879,1467,7,357,136,241,126,6213,11.98 %,0.0307
manly,691,328,0,108,83,76,16,1302,2.72 %,0.0064
maroubra,1223,501,5,154,101,112,20,2116,4.52 %,0.0105
miranda,2135,623,17,234,156,148,52,3365,7.01 %,0.0166
monaro,1410,915,4,164,125,177,50,2845,5.86 %,0.0141
mount-druitt,2003,463,1,279,108,245,48,3147,6.90 %,0.0156
mulgoa,2948,626,0,393,193,319,73,4552,9.08 %,0.0225
murray,2621,1498,16,115,201,210,55,4716,10.30 %,0.0233
myall-lakes,2761,1459,3,247,215,150,55,4890,9.96 %,0.0242
newcastle,1516,321,0,223,103,120,42,2325,4.68 %,0.0115
newtown,457,140,0,83,43,61,8,792,1.70 %,0.0039
north-shore,682,254,0,110,57,86,13,1202,2.53 %,0.0059
northern-tablelands,2275,1599,10,148,182,184,54,4452,9.47 %,0.022
oatley,1595,405,8,122,154,119,57,2460,5.25 %,0.0122
orange,2174,1205,4,151,97,109,52,3792,7.72 %,0.0187
oxley,2374,1104,18,286,134,138,50,4104,8.62 %,0.0203
parramatta,1052,200,3,211,139,159,25,1789,3.78 %,0.0088
penrith,3077,1054,2,362,171,254,83,5003,10.51 %,0.0247
pittwater,1100,524,10,172,99,92,20,2017,4.16 %,0.01
port-macquarie,2589,1318,3,366,168,147,66,4657,9.00 %,0.023
port-stephens,2691,1269,3,264,188,166,98,4679,9.70 %,0.0231
prospect,1880,430,4,321,147,203,37,3022,6.71 %,0.0149
riverstone,1544,477,0,208,143,224,64,2660,5.02 %,0.0131
rockdale,1520,359,4,192,111,141,41,2368,5.12 %,0.0117
ryde,851,241,2,94,112,102,24,1426,3.00 %,0.007
seven-hills,1695,274,1,223,218,143,38,2592,5.62 %,0.0128
shellharbour,2572,1975,0,257,122,238,65,5229,9.80 %,0.0258
south-coast,2676,1434,7,280,176,227,79,4879,10.18 %,0.0241
strathfield,789,177,0,130,84,111,21,1312,2.90 %,0.0065
summer-hill,624,279,5,95,62,48,20,1133,2.36 %,0.0056
swansea,2936,838,0,458,189,137,95,4653,9.64 %,0.023
sydney,512,167,7,119,43,98,17,963,2.23 %,0.0048
tamworth,3123,1933,11,253,144,114,61,5639,11.43 %,0.0279
terrigal,1589,777,1,215,146,124,38,2890,5.84 %,0.0143
the-entrance,2255,855,1,313,147,153,53,3777,8.00 %,0.0187
tweed,1875,1133,6,130,168,157,41,3510,7.66 %,0.0173
upper-hunter,2693,1892,6,427,157,187,110,5472,11.43 %,0.027
vaucluse,522,273,2,62,66,50,9,984,2.17 %,0.0049
wagga-wagga,2724,1380,9,125,133,176,44,4591,9.80 %,0.0227
wakehurst,1416,269,8,231,128,128,24,2204,4.61 %,0.0109
wallsend,2564,668,7,319,158,143,89,3948,7.85 %,0.0195
willoughby,603,124,6,97,94,61,16,1001,2.12 %,0.0049
wollondilly,4563,1843,10,437,302,281,137,7573,15.18 %,0.0374
