area_id,Ordinary,Early Voting,Declared Facility,Absent,Postal,iVote,Enrolment / Provisional,Total Votes / Ballot Papers,% of Votes / Ballot Papers,Number of Quotas
albury,80,18,4,5,11,4,6,128,0.27 %,0.0006
auburn,135,21,0,8,5,22,4,195,0.45 %,0.001
ballina,48,16,1,8,1,11,2,87,0.18 %,0.0004
balmain,142,36,0,26,9,29,13,255,0.52 %,0.0013
bankstown,108,33,1,13,4,33,8,200,0.49 %,0.001
barwon,44,24,0,5,1,7,4,85,0.19 %,0.0004
bathurst,73,37,0,11,2,6,4,133,0.27 %,0.0007
baulkham-hills,78,12,0,12,1,19,5,127,0.26 %,0.0006
bega,59,39,0,4,2,5,3,112,0.23 %,0.0006
blacktown,93,25,0,19,3,18,4,162,0.36 %,0.0008
blue-mountains,131,44,0,15,6,8,3,207,0.43 %,0.001
cabramatta,111,94,0,12,2,14,12,245,0.55 %,0.0012
camden,76,22,0,14,1,16,10,139,0.23 %,0.0007
campbelltown,89,18,0,12,2,6,4,131,0.29 %,0.0006
canterbury,146,37,0,20,3,29,9,244,0.52 %,0.0012
castle-hill,71,7,0,11,0,18,4,111,0.21 %,0.0005
cessnock,79,23,0,16,0,12,2,132,0.27 %,0.0007
charlestown,127,26,0,22,2,15,6,198,0.41 %,0.001
clarence,62,24,0,7,1,8,8,110,0.23 %,0.0005
coffs-harbour,73,18,0,6,3,7,5,112,0.24 %,0.0006
coogee,72,27,0,11,2,10,2,124,0.27 %,0.0006
cootamundra,46,32,0,8,4,7,4,101,0.22 %,0.0005
cronulla,36,8,0,8,4,10,5,71,0.14 %,0.0004
davidson,62,5,0,7,6,17,1,98,0.20 %,0.0005
drummoyne,68,8,0,13,2,21,1,113,0.24 %,0.0006
dubbo,47,62,0,6,1,5,4,125,0.27 %,0.0006
east-hills,86,18,0,10,2,7,7,130,0.28 %,0.0006
epping,83,21,1,7,3,10,6,131,0.27 %,0.0006
fairfield,115,70,0,13,0,16,8,222,0.53 %,0.0011
gosford,63,32,0,20,4,10,5,134,0.28 %,0.0007
goulburn,50,19,1,7,5,14,3,99,0.20 %,0.0005
granville,104,36,0,20,7,21,6,194,0.46 %,0.001
hawkesbury,64,14,0,7,1,6,3,95,0.20 %,0.0005
heathcote,72,17,1,16,3,18,4,131,0.26 %,0.0006
