area_id,Ordinary,Early Voting,Declared Facility,Absent,Postal,iVote,Enrolment / Provisional,Total Votes / Ballot Papers,% of Votes / Ballot Papers,Number of Quotas
albury,858,187,14,35,47,94,27,1262,2.70 %,0.0062
auburn,283,71,0,44,6,88,22,514,1.18 %,0.0025
ballina,435,220,2,59,32,42,20,810,1.63 %,0.004
balmain,308,87,0,64,36,89,27,611,1.24 %,0.003
bankstown,191,75,1,35,5,64,17,388,0.94 %,0.0019
barwon,232,128,1,34,17,32,13,457,1.01 %,0.0023
bathurst,523,248,3,52,20,48,28,922,1.87 %,0.0046
baulkham-hills,493,74,0,55,38,89,20,769,1.55 %,0.0038
bega,248,182,2,32,23,38,11,536,1.09 %,0.0026
blacktown,286,73,0,45,6,67,15,492,1.09 %,0.0024
blue-mountains,628,192,0,60,34,59,19,992,2.04 %,0.0049
cabramatta,307,158,0,52,9,119,23,668,1.50 %,0.0033
camden,466,141,0,52,33,89,25,806,1.31 %,0.004
campbelltown,440,63,0,52,16,54,22,647,1.45 %,0.0032
canterbury,252,46,0,49,16,72,19,454,0.97 %,0.0022
castle-hill,478,75,0,51,39,111,24,778,1.50 %,0.0038
cessnock,540,153,4,89,19,60,16,881,1.79 %,0.0044
charlestown,420,76,0,87,14,52,23,672,1.40 %,0.0033
clarence,407,135,4,51,14,51,16,678,1.41 %,0.0034
coffs-harbour,481,129,2,37,29,66,23,767,1.65 %,0.0038
coogee,330,106,0,52,23,94,19,624,1.36 %,0.0031
cootamundra,205,165,3,46,10,37,18,484,1.06 %,0.0024
cronulla,437,113,0,58,22,92,13,735,1.47 %,0.0036
davidson,854,89,4,103,44,94,22,1210,2.49 %,0.006
drummoyne,263,44,0,49,20,58,14,448,0.96 %,0.0022
dubbo,248,209,3,27,18,31,14,550,1.17 %,0.0027
east-hills,247,72,0,21,11,47,13,411,0.89 %,0.002
epping,398,82,0,48,33,90,15,666,1.36 %,0.0033
fairfield,189,101,0,49,8,91,22,460,1.10 %,0.0023
gosford,544,194,4,85,22,63,17,929,1.95 %,0.0046
goulburn,355,113,1,34,25,48,14,590,1.17 %,0.0029
granville,170,54,0,33,14,64,8,343,0.81 %,0.0017
hawkesbury,457,98,0,65,33,60,22,735,1.52 %,0.0036
heathcote,302,73,0,44,9,66,15,509,1.01 %,0.0025
heffron,264,49,0,86,10,129,20,558,1.13 %,0.0028
holsworthy,219,54,0,35,12,54,11,385,0.83 %,0.0019
hornsby,654,88,1,84,37,87,14,965,1.96 %,0.0048
keira,633,171,3,73,32,80,24,1016,1.99 %,0.005
kiama,335,171,2,87,37,61,18,711,1.49 %,0.0035
kogarah,249,66,1,47,9,74,11,457,1.04 %,0.0023
ku-ring-gai,809,151,5,73,48,106,34,1226,2.53 %,0.0061
lake-macquarie,494,156,2,71,31,61,23,838,1.72 %,0.0041
