area_id,Ordinary,Early Voting,Declared Facility,Absent,Postal,iVote,Enrolment / Provisional,Total Votes / Ballot Papers,% of Votes / Ballot Papers,Number of Quotas
albury,219,64,0,6,12,25,8,334,0.71 %,0.0017
auburn,149,44,0,31,3,59,5,291,0.67 %,0.0014
ballina,134,73,0,17,13,13,9,259,0.52 %,0.0013
balmain,125,68,0,24,12,41,8,278,0.57 %,0.0014
bankstown,143,61,0,45,12,32,11,304,0.74 %,0.0015
barwon,90,74,0,19,8,13,4,208,0.46 %,0.001
bathurst,161,97,0,16,6,16,12,308,0.62 %,0.0015
baulkham-hills,208,55,0,32,11,38,15,359,0.72 %,0.0018
bega,132,76,0,10,4,11,5,238,0.48 %,0.0012
blacktown,131,33,0,37,5,41,13,260,0.57 %,0.0013
blue-mountains,114,43,0,15,4,17,6,199,0.41 %,0.001
cabramatta,239,121,0,38,12,73,15,498,1.12 %,0.0025
camden,312,73,0,34,14,50,11,494,0.80 %,0.0024
campbelltown,156,22,0,24,6,18,10,236,0.53 %,0.0012
canterbury,323,81,1,46,7,49,10,517,1.10 %,0.0026
castle-hill,171,40,0,38,12,42,13,316,0.61 %,0.0016
cessnock,228,67,1,54,4,24,9,387,0.79 %,0.0019
charlestown,283,42,0,53,17,29,13,437,0.91 %,0.0022
clarence,137,50,0,14,3,16,4,224,0.46 %,0.0011
coffs-harbour,204,54,0,20,11,19,6,314,0.68 %,0.0016
coogee,200,76,1,30,19,23,8,357,0.78 %,0.0018
cootamundra,111,66,0,8,10,29,6,230,0.50 %,0.0011
cronulla,192,63,0,29,10,27,4,325,0.65 %,0.0016
davidson,182,19,0,36,19,40,2,298,0.61 %,0.0015
drummoyne,204,38,0,35,14,43,7,341,0.73 %,0.0017
dubbo,182,145,2,14,5,5,9,362,0.77 %,0.0018
east-hills,165,64,0,37,10,27,5,308,0.66 %,0.0015
epping,143,34,0,21,11,30,10,249,0.51 %,0.0012
fairfield,138,74,0,37,9,37,7,302,0.72 %,0.0015
gosford,150,44,0,24,7,19,6,250,0.52 %,0.0012
goulburn,180,67,0,13,9,13,9,291,0.58 %,0.0014
granville,108,47,0,32,12,34,4,237,0.56 %,0.0012
hawkesbury,216,48,0,24,7,33,8,336,0.70 %,0.0017
heathcote,173,41,0,16,7,25,2,264,0.52 %,0.0013
heffron,239,58,0,55,12,52,20,436,0.88 %,0.0022
holsworthy,145,57,0,38,4,39,13,296,0.64 %,0.0015
hornsby,160,36,0,19,5,33,5,258,0.52 %,0.0013
keira,214,51,0,16,9,29,8,327,0.64 %,0.0016
kiama,138,71,0,31,5,21,7,273,0.57 %,0.0013
kogarah,224,68,0,35,5,46,6,384,0.87 %,0.0019
ku-ring-gai,148,61,0,26,11,40,9,295,0.61 %,0.0015
lake-macquarie,306,92,0,44,19,21,17,499,1.02 %,0.0025
lakemba,147,44,0,47,7,36,9,290,0.68 %,0.0014
lane-cove,238,35,1,32,12,46,14,378,0.75 %,0.0019
lismore,144,71,0,17,8,15,3,258,0.54 %,0.0013
liverpool,190,57,0,42,5,44,11,349,0.78 %,0.0017
londonderry,175,36,0,38,4,37,7,297,0.58 %,0.0015
macquarie-fields,158,32,0,39,6,47,10,292,0.57 %,0.0014
maitland,225,74,1,31,10,34,9,384,0.74 %,0.0019
manly,186,74,0,28,4,31,1,324,0.68 %,0.0016
maroubra,220,55,0,35,6,43,10,369,0.79 %,0.0018
miranda,171,41,0,37,8,29,9,295,0.61 %,0.0015
monaro,171,65,0,18,9,29,7,299,0.62 %,0.0015
mount-druitt,139,26,1,29,4,32,4,235,0.52 %,0.0012
mulgoa,161,36,0,41,6,37,13,294,0.59 %,0.0015
murray,149,99,0,14,7,24,5,298,0.65 %,0.0015
myall-lakes,147,108,0,12,5,10,7,289,0.59 %,0.0014
newcastle,427,72,0,60,17,41,18,635,1.28 %,0.0031
newtown,210,69,0,36,10,32,13,370,0.80 %,0.0018
north-shore,178,57,0,33,11,36,12,327,0.69 %,0.0016
northern-tablelands,121,82,2,0,6,13,6,230,0.49 %,0.0011
oatley,195,44,0,37,12,31,5,324,0.69 %,0.0016
orange,156,69,1,13,1,15,4,259,0.53 %,0.0013
oxley,131,58,1,15,7,14,8,234,0.49 %,0.0012
parramatta,156,26,0,29,13,44,11,279,0.59 %,0.0014
penrith,141,43,0,25,7,22,9,247,0.52 %,0.0012
pittwater,200,60,0,27,7,22,7,323,0.67 %,0.0016
port-macquarie,139,79,2,30,6,14,5,275,0.53 %,0.0014
port-stephens,194,59,1,17,10,13,7,301,0.62 %,0.0015
prospect,137,31,0,45,10,53,4,280,0.62 %,0.0014
riverstone,165,39,0,28,12,39,9,292,0.55 %,0.0014
rockdale,468,50,1,46,10,44,16,635,1.37 %,0.0031
ryde,153,43,0,18,15,44,12,285,0.60 %,0.0014
seven-hills,166,29,0,34,13,35,5,282,0.61 %,0.0014
shellharbour,193,89,0,37,11,33,5,368,0.69 %,0.0018
south-coast,128,79,0,18,1,13,10,249,0.52 %,0.0012
strathfield,175,61,0,42,8,43,8,337,0.74 %,0.0017
summer-hill,152,55,0,27,5,22,5,266,0.55 %,0.0013
swansea,191,39,0,39,7,13,8,297,0.62 %,0.0015
sydney,392,168,1,44,13,84,16,718,1.66 %,0.0035
tamworth,177,93,0,17,9,9,7,312,0.63 %,0.0015
terrigal,169,49,0,36,9,23,2,288,0.58 %,0.0014
the-entrance,188,49,0,43,11,27,8,326,0.69 %,0.0016
tweed,155,52,2,13,4,22,5,253,0.55 %,0.0013
upper-hunter,129,64,0,18,11,17,15,254,0.53 %,0.0013
vaucluse,174,62,0,33,19,23,3,314,0.69 %,0.0016
wagga-wagga,317,137,0,20,10,28,11,523,1.12 %,0.0026
wakehurst,246,39,0,57,17,33,11,403,0.84 %,0.002
wallsend,266,50,0,56,9,25,14,420,0.83 %,0.0021
willoughby,190,39,0,36,25,48,6,344,0.73 %,0.0017
wollondilly,226,86,0,38,17,38,10,415,0.83 %,0.0021
