area_id,Ordinary,Early Voting,Declared Facility,Absent,Postal,iVote,Enrolment / Provisional,Total Votes / Ballot Papers,% of Votes / Ballot Papers,Number of Quotas
albury,32609.0,11036.0,480.0,1271.0,2023.0,2063.0,711.0,50193.0,nan,nan
auburn,30750.0,7683.0,41.0,4143.0,1049.0,3193.0,1426.0,48285.0,nan,nan
ballina,27224.0,17231.0,163.0,2512.0,1723.0,1834.0,1064.0,51751.0,nan,nan
balmain,30576.0,9078.0,74.0,3979.0,1817.0,3597.0,1453.0,50574.0,nan,nan
bankstown,28510.0,9970.0,88.0,3467.0,1119.0,2483.0,1321.0,46958.0,nan,nan
barwon,23980.0,15744.0,234.0,3241.0,1901.0,2088.0,820.0,48008.0,nan,nan
bathurst,27545.0,18790.0,333.0,2633.0,1190.0,1160.0,1022.0,52673.0,nan,nan
baulkham-hills,35400.0,6476.0,45.0,3728.0,1934.0,3388.0,1123.0,52094.0,nan,nan
bega,26773.0,19575.0,356.0,1807.0,1421.0,1620.0,835.0,52387.0,nan,nan
blacktown,29942.0,10083.0,19.0,4042.0,1263.0,2812.0,1176.0,49337.0,nan,nan
blue-mountains,30867.0,13339.0,21.0,2717.0,1237.0,1678.0,818.0,50677.0,nan,nan
cabramatta,27246.0,13650.0,26.0,3400.0,925.0,3159.0,1540.0,49946.0,nan,nan
camden,42227.0,12005.0,9.0,4584.0,1825.0,3320.0,1830.0,65800.0,nan,nan
campbelltown,32614.0,8972.0,5.0,3124.0,934.0,1827.0,1057.0,48533.0,nan,nan
canterbury,34117.0,7827.0,31.0,4223.0,1208.0,2890.0,1319.0,51615.0,nan,nan
castle-hill,36336.0,6265.0,28.0,4245.0,2118.0,3889.0,1351.0,54232.0,nan,nan
cessnock,31798.0,12228.0,137.0,4857.0,894.0,1832.0,1120.0,52866.0,nan,nan
charlestown,33908.0,7517.0,76.0,4865.0,1678.0,1962.0,1107.0,51113.0,nan,nan
clarence,29506.0,15383.0,360.0,2310.0,1013.0,1785.0,852.0,51209.0,nan,nan
coffs-harbour,31700.0,11498.0,300.0,1941.0,1221.0,1889.0,888.0,49437.0,nan,nan
coogee,28240.0,9878.0,212.0,3718.0,1530.0,3047.0,850.0,47475.0,nan,nan
cootamundra,24040.0,17915.0,363.0,2551.0,1421.0,1832.0,786.0,48908.0,nan,nan
cronulla,35320.0,9277.0,36.0,3210.0,1428.0,2613.0,849.0,52733.0,nan,nan
davidson,35771.0,4647.0,479.0,3533.0,2026.0,3080.0,939.0,50475.0,nan,nan
drummoyne,33354.0,5237.0,64.0,4207.0,1674.0,3368.0,1047.0,48951.0,nan,nan
dubbo,22893.0,21880.0,260.0,2420.0,1106.0,1409.0,679.0,50647.0,nan,nan
