area_id,Ordinary,Early Voting,Declared Facility,Absent,Postal,iVote,Enrolment / Provisional,Total Votes / Ballot Papers,% of Votes / Ballot Papers,Number of Quotas
albury,461,165,1,13,41,37,4,722,1.54 %,0.0036
auburn,107,28,0,16,19,38,6,214,0.49 %,0.0011
ballina,265,148,0,34,35,40,8,530,1.07 %,0.0026
balmain,362,118,0,45,33,50,8,616,1.25 %,0.003
bankstown,88,33,2,10,7,28,5,173,0.42 %,0.0009
barwon,187,138,1,23,28,25,7,409,0.90 %,0.002
bathurst,257,177,0,34,14,27,11,520,1.05 %,0.0026
baulkham-hills,202,45,0,17,18,32,1,315,0.63 %,0.0016
bega,397,217,3,24,28,40,11,720,1.47 %,0.0036
blacktown,146,33,0,20,14,45,6,264,0.58 %,0.0013
blue-mountains,521,217,1,31,36,34,7,847,1.74 %,0.0042
cabramatta,131,62,0,21,19,39,5,277,0.62 %,0.0014
camden,254,97,0,27,18,60,9,465,0.76 %,0.0023
campbelltown,198,63,0,16,15,32,3,327,0.73 %,0.0016
canterbury,154,28,0,22,17,32,10,263,0.56 %,0.0013
castle-hill,190,33,0,29,16,39,5,312,0.60 %,0.0015
cessnock,332,128,0,49,16,31,6,562,1.14 %,0.0028
charlestown,445,104,0,56,34,52,18,709,1.47 %,0.0035
clarence,344,148,3,32,10,38,2,577,1.20 %,0.0029
coffs-harbour,502,151,5,25,33,30,11,757,1.63 %,0.0037
coogee,310,171,2,38,18,45,5,589,1.29 %,0.0029
cootamundra,204,141,0,23,33,26,1,428,0.93 %,0.0021
cronulla,266,72,0,15,21,35,4,413,0.82 %,0.002
davidson,418,61,25,29,45,44,8,630,1.30 %,0.0031
drummoyne,224,48,1,28,27,30,8,366,0.79 %,0.0018
dubbo,221,236,2,35,17,37,4,552,1.17 %,0.0027
east-hills,154,58,0,14,16,19,3,264,0.57 %,0.0013
epping,207,44,1,26,28,39,5,350,0.72 %,0.0017
fairfield,97,59,0,15,5,38,3,217,0.52 %,0.0011
gosford,338,142,6,28,29,32,9,584,1.23 %,0.0029
goulburn,394,195,0,34,38,49,9,719,1.43 %,0.0036
granville,86,29,0,14,8,26,3,166,0.39 %,0.0008
hawkesbury,313,83,1,34,23,38,8,500,1.04 %,0.0025
heathcote,278,83,0,24,17,38,4,444,0.88 %,0.0022
heffron,215,60,0,67,13,75,8,438,0.88 %,0.0022
holsworthy,132,29,0,22,17,36,7,243,0.52 %,0.0012
hornsby,343,65,1,44,39,42,6,540,1.10 %,0.0027
keira,358,123,0,48,28,39,8,604,1.19 %,0.003
kiama,329,141,1,34,35,52,3,595,1.24 %,0.0029
kogarah,132,32,1,21,12,30,2,230,0.52 %,0.0011
ku-ring-gai,324,61,10,33,41,43,5,517,1.07 %,0.0026
lake-macquarie,496,241,4,61,71,46,6,925,1.90 %,0.0046
lakemba,91,31,0,22,7,29,8,188,0.44 %,0.0009
lane-cove,380,59,3,38,39,66,6,591,1.18 %,0.0029
lismore,192,100,0,25,19,34,5,375,0.79 %,0.0019
liverpool,114,58,0,11,10,37,6,236,0.53 %,0.0012
londonderry,210,62,0,19,15,47,4,357,0.70 %,0.0018
macquarie-fields,186,62,0,28,8,32,3,319,0.62 %,0.0016
maitland,329,123,0,36,20,47,8,563,1.09 %,0.0028
manly,369,175,0,38,32,60,9,683,1.42 %,0.0034
maroubra,219,123,0,23,23,47,4,439,0.94 %,0.0022
miranda,224,52,3,18,21,24,2,344,0.72 %,0.0017
monaro,294,153,1,19,43,69,9,588,1.21 %,0.0029
mount-druitt,136,40,0,18,12,26,4,236,0.52 %,0.0012
mulgoa,210,28,0,31,14,42,7,332,0.66 %,0.0016
murray,212,106,0,12,30,32,5,397,0.87 %,0.002
myall-lakes,338,244,0,24,30,30,2,668,1.36 %,0.0033
newcastle,488,105,0,58,29,35,13,728,1.46 %,0.0036
newtown,295,85,0,39,11,67,16,513,1.10 %,0.0025
north-shore,647,198,3,52,46,98,6,1050,2.21 %,0.0052
northern-tablelands,227,158,1,20,27,25,10,468,1.00 %,0.0023
oatley,172,40,0,9,20,30,7,278,0.59 %,0.0014
orange,286,148,1,29,23,28,5,520,1.06 %,0.0026
oxley,538,151,5,56,25,36,5,816,1.71 %,0.004
parramatta,183,16,1,30,18,33,5,286,0.60 %,0.0014
penrith,233,59,0,29,16,42,10,389,0.82 %,0.0019
pittwater,450,186,4,52,39,37,8,776,1.60 %,0.0038
port-macquarie,505,387,1,52,60,44,15,1064,2.06 %,0.0053
port-stephens,314,179,1,17,30,40,8,589,1.22 %,0.0029
prospect,140,29,1,26,9,23,3,231,0.51 %,0.0011
riverstone,161,47,0,23,7,48,8,294,0.56 %,0.0015
rockdale,154,40,0,31,14,33,3,275,0.59 %,0.0014
ryde,217,41,1,22,38,40,6,365,0.77 %,0.0018
seven-hills,213,23,0,22,34,27,3,322,0.70 %,0.0016
shellharbour,332,299,0,28,23,69,4,755,1.41 %,0.0037
south-coast,312,141,0,32,37,30,8,560,1.17 %,0.0028
strathfield,160,40,0,29,13,42,5,289,0.64 %,0.0014
summer-hill,220,100,2,36,18,39,5,420,0.88 %,0.0021
swansea,447,103,0,60,31,38,8,687,1.42 %,0.0034
sydney,446,108,1,48,38,90,6,737,1.71 %,0.0036
tamworth,241,178,2,30,25,29,13,518,1.05 %,0.0026
terrigal,335,134,0,39,40,44,5,597,1.21 %,0.003
the-entrance,317,107,0,45,47,48,8,572,1.21 %,0.0028
tweed,272,143,1,18,32,42,2,510,1.11 %,0.0025
upper-hunter,235,126,0,30,16,26,13,446,0.93 %,0.0022
vaucluse,556,165,1,27,39,52,4,844,1.86 %,0.0042
wagga-wagga,411,213,2,21,37,48,11,743,1.59 %,0.0037
wakehurst,400,63,3,58,34,61,3,622,1.30 %,0.0031
wallsend,447,118,2,58,24,30,13,692,1.38 %,0.0034
willoughby,493,55,4,64,58,59,13,746,1.58 %,0.0037
wollondilly,509,239,5,29,53,52,6,893,1.79 %,0.0044
wollongong,357,144,1,34,31,38,7,612,1.23 %,0.003
wyong,343,108,1,42,15,31,15,555,1.18 %,0.0027
